type,status,departure.iataCode,departure.icaoCode,departure.gate,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.delay,arrival.baggage,arrival.gate,arrival.terminal,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay
departure,active,abz,egpd,15,2022-01-02t11:45:00.000,2022-01-02t11:45:00.000,2022-01-02t11:44:00.000,2022-01-02t11:44:00.000,2022-01-02t11:44:00.000,alc,leal,2022-01-02t16:00:00.000,2022-01-02t15:38:00.000,ryanair,fr,ryr,8006,fr8006,ryr8006,,,,,,,,,,,,,,
departure,active,abz,egpd,13,2022-01-06t17:40:00.000,2022-01-06t17:40:00.000,2022-01-06t17:49:00.000,2022-01-06t17:49:00.000,2022-01-06t17:49:00.000,alc,leal,2022-01-06t21:55:00.000,2022-01-06t21:48:00.000,ryanair,fr,ryr,8006,fr8006,ryr8006,9.0,,,,,,,,,,,,,
departure,active,abz,egpd,14,2022-01-09t11:45:00.000,2022-01-09t11:45:00.000,2022-01-09t12:04:00.000,2022-01-09t12:04:00.000,2022-01-09t12:04:00.000,alc,leal,2022-01-09t16:00:00.000,2022-01-09t15:56:00.000,ryanair,fr,ryr,8006,fr8006,ryr8006,20.0,,,,,,,,,,,,,
departure,active,abz,egpd,1,2022-01-01t06:00:00.000,2022-01-01t06:00:00.000,2022-01-01t05:57:00.000,2022-01-01t05:57:00.000,2022-01-01t05:57:00.000,ams,eham,2022-01-01t08:40:00.000,2022-01-01t08:06:00.000,klm,kl,klm,1440,kl1440,klm1440,,8,a08,,,,,,,,,,,
departure,active,abz,egpd,1,2022-01-01t10:55:00.000,2022-01-01t10:55:00.000,2022-01-01t11:01:00.000,2022-01-01t11:01:00.000,2022-01-01t11:01:00.000,ams,eham,2022-01-01t13:30:00.000,2022-01-01t13:11:00.000,klm,kl,klm,1444,kl1444,klm1444,7.0,8,a08,,,,,,,,,,,
departure,cancelled,abz,egpd,,2022-01-01t17:20:00.000,2022-01-01t17:20:00.000,,,,ams,eham,2022-01-01t19:55:00.000,,klm,kl,klm,1448,kl1448,klm1448,,,d29,,,,,,,,,,,
departure,active,abz,egpd,1,2022-01-02t06:00:00.000,2022-01-02t06:00:00.000,2022-01-02t06:10:00.000,2022-01-02t06:10:00.000,2022-01-02t06:10:00.000,ams,eham,2022-01-02t08:40:00.000,2022-01-02t08:17:00.000,klm,kl,klm,1440,kl1440,klm1440,10.0,12,d25,2,,,,,,,,,,
departure,active,abz,egpd,1,2022-01-02t10:55:00.000,2022-01-02t10:55:00.000,2022-01-02t10:53:00.000,2022-01-02t10:53:00.000,2022-01-02t10:53:00.000,ams,eham,2022-01-02t13:30:00.000,2022-01-02t12:58:00.000,klm,kl,klm,1444,kl1444,klm1444,,8,a08,,,,,,,,,,,
departure,active,abz,egpd,10,2022-01-02t14:20:00.000,2022-01-02t14:20:00.000,2022-01-02t14:36:00.000,2022-01-02t14:36:00.000,2022-01-02t14:36:00.000,koi,egpa,2022-01-02t15:15:00.000,2022-01-02t15:10:00.000,klm,kl,klm,3829,kl3829,klm3829,16.0,,,,loganair,lm,log,34,lm34,log34,,,,
departure,active,abz,egpd,10,2022-01-02t17:15:00.000,2022-01-02t17:14:00.000,,,,lsi,egpb,2022-01-02t18:20:00.000,,klm,kl,klm,3825,kl3825,klm3825,,,,,loganair,lm,log,80,lm80,log80,,,,
departure,active,abz,egpd,1,2022-01-02t17:20:00.000,2022-01-02t17:32:00.000,2022-01-02t17:32:00.000,2022-01-02t17:32:00.000,2022-01-02t17:32:00.000,ams,eham,2022-01-02t20:00:00.000,2022-01-02t19:37:00.000,klm,kl,klm,1448,kl1448,klm1448,13.0,13,a08,,,,,,,,,,,
departure,active,abz,egpd,1,2022-01-03t06:00:00.000,2022-01-03t06:00:00.000,2022-01-03t06:11:00.000,2022-01-03t06:11:00.000,2022-01-03t06:11:00.000,ams,eham,2022-01-03t08:40:00.000,2022-01-03t08:17:00.000,klm,kl,klm,1440,kl1440,klm1440,11.0,8,a08,,,,,,,,,,,
departure,active,abz,egpd,1,2022-01-03t10:55:00.000,2022-01-03t10:55:00.000,2022-01-03t10:46:00.000,2022-01-03t10:46:00.000,2022-01-03t10:46:00.000,ams,eham,2022-01-03t13:30:00.000,2022-01-03t12:52:00.000,klm,kl,klm,1444,kl1444,klm1444,,8,a08,,,,,,,,,,,
departure,active,abz,egpd,1,2022-01-03t12:40:00.000,2022-01-03t12:40:00.000,,,,ams,eham,2022-01-03t15:20:00.000,,klm,kl,klm,1446,kl1446,klm1446,,8,a08,,,,,,,,,,,
