type,status,departure.iataCode,departure.icaoCode,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.terminal,arrival.baggage,arrival.delay,departure.gate,arrival.gate,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber
departure,active,bfs,egaa,19.0,2022-01-02t07:45:00.000,2022-01-02t07:45:00.000,2022-01-02t08:03:00.000,2022-01-02t08:03:00.000,2022-01-02t08:03:00.000,szg,lows,2022-01-02t11:25:00.000,2022-01-02t11:14:00.000,jet2,ls,exs,345,ls345,exs345,,,,,,,,,,,
departure,active,bfs,egaa,11.0,2022-01-02t08:20:00.000,2022-01-02t08:20:00.000,2022-01-02t08:30:00.000,2022-01-02t08:30:00.000,2022-01-02t08:30:00.000,ace,gcrr,2022-01-02t12:50:00.000,2022-01-02t12:39:00.000,jet2,ls,exs,309,ls309,exs309,1,4,,,,,,,,,
departure,active,bfs,egaa,15.0,2022-01-02t14:55:00.000,2022-01-02t14:55:00.000,2022-01-02t15:09:00.000,2022-01-02t15:09:00.000,2022-01-02t15:09:00.000,lpa,gclp,2022-01-02t19:30:00.000,2022-01-02t19:29:00.000,jet2,ls,exs,371,ls371,exs371,,41,,,,,,,,,
departure,active,bfs,egaa,11.0,2022-01-03t06:40:00.000,2022-01-03t06:40:00.000,2022-01-03t06:50:00.000,2022-01-03t06:50:00.000,2022-01-03t06:50:00.000,alc,leal,2022-01-03t10:50:00.000,2022-01-03t10:27:00.000,jet2,ls,exs,301,ls301,exs301,,,,,,,,,,,
departure,active,bfs,egaa,,2022-01-03t08:30:00.000,2022-01-03t08:30:00.000,,,,tfs,gcts,2022-01-03t13:10:00.000,,jet2,ls,exs,381,ls381,exs381,,a6,,,,,,,,,
departure,active,bfs,egaa,,2022-01-03t09:35:00.000,2022-01-03t09:35:00.000,,,,fue,gcfv,2022-01-03t14:10:00.000,,jet2,ls,exs,307,ls307,exs307,,3,,,,,,,,,
departure,active,bfs,egaa,1.0,2022-01-04t08:20:00.000,2022-01-04t08:20:00.000,2022-01-04t08:21:00.000,2022-01-04t08:21:00.000,2022-01-04t08:21:00.000,ace,gcrr,2022-01-04t12:50:00.000,2022-01-04t12:26:00.000,jet2,ls,exs,309,ls309,exs309,1,4,,,,,,,,,
departure,active,bfs,egaa,8.0,2022-01-04t08:30:00.000,2022-01-04t08:30:00.000,2022-01-04t08:37:00.000,2022-01-04t08:37:00.000,2022-01-04t08:37:00.000,tfs,gcts,2022-01-04t13:10:00.000,2022-01-04t12:52:00.000,jet2,ls,exs,381,ls381,exs381,,a4,,,,,,,,,
departure,active,bfs,egaa,9.0,2022-01-05t08:20:00.000,2022-01-05t08:29:00.000,,,,ace,gcrr,2022-01-05t12:50:00.000,,jet2,ls,exs,309,ls309,exs309,1,5,,,,,,,,,
departure,active,bfs,egaa,17.0,2022-01-05t08:20:00.000,2022-01-05t08:20:00.000,2022-01-05t08:36:00.000,2022-01-05t08:36:00.000,2022-01-05t08:36:00.000,tfs,gcts,2022-01-05t13:00:00.000,2022-01-05t12:52:00.000,jet2,ls,exs,381,ls381,exs381,,b4,,,,,,,,,
departure,active,bfs,egaa,27.0,2022-01-05t09:35:00.000,2022-01-05t09:35:00.000,2022-01-05t10:02:00.000,2022-01-05t10:02:00.000,2022-01-05t10:02:00.000,fue,gcfv,2022-01-05t14:05:00.000,2022-01-05t14:06:00.000,jet2,ls,exs,307,ls307,exs307,,6,2.0,,,,,,,,
departure,active,bfs,egaa,6.0,2022-01-06t08:20:00.000,2022-01-06t08:20:00.000,2022-01-06t08:26:00.000,2022-01-06t08:26:00.000,2022-01-06t08:26:00.000,ace,gcrr,2022-01-06t12:50:00.000,2022-01-06t12:33:00.000,jet2,ls,exs,309,ls309,exs309,1,2,,,,,,,,,
departure,active,bfs,egaa,1.0,2022-01-06t08:30:00.000,2022-01-06t08:30:00.000,2022-01-06t08:30:00.000,2022-01-06t08:30:00.000,2022-01-06t08:30:00.000,tfs,gcts,2022-01-06t13:10:00.000,2022-01-06t12:43:00.000,jet2,ls,exs,381,ls381,exs381,,a1,,,,,,,,,
departure,active,bfs,egaa,6.0,2022-01-06t09:40:00.000,2022-01-06t09:40:00.000,2022-01-06t09:45:00.000,2022-01-06t09:45:00.000,2022-01-06t09:45:00.000,lpa,gclp,2022-01-06t14:15:00.000,2022-01-06t14:09:00.000,jet2,ls,exs,371,ls371,exs371,,37,,,,,,,,,
departure,active,bfs,egaa,25.0,2022-01-07t08:30:00.000,2022-01-07t08:30:00.000,2022-01-07t08:55:00.000,2022-01-07t08:55:00.000,2022-01-07t08:55:00.000,tfs,gcts,2022-01-07t13:10:00.000,2022-01-07t13:02:00.000,jet2,ls,exs,381,ls381,exs381,,a1,,,,,,,,,
departure,active,bfs,egaa,9.0,2022-01-08t07:45:00.000,2022-01-08t07:45:00.000,2022-01-08t07:53:00.000,2022-01-08t07:53:00.000,2022-01-08t07:53:00.000,szg,lows,2022-01-08t11:25:00.000,2022-01-08t10:57:00.000,jet2,ls,exs,345,ls345,exs345,,,,,,,,,,,
departure,active,bfs,egaa,,2022-01-08t09:40:00.000,2022-01-08t09:40:00.000,,,,fue,gcfv,2022-01-08t14:10:00.000,,jet2,ls,exs,307,ls307,exs307,,4,,,,,,,,,
departure,active,bfs,egaa,5.0,2022-01-09t08:20:00.000,2022-01-09t08:20:00.000,2022-01-09t08:24:00.000,2022-01-09t08:24:00.000,2022-01-09t08:24:00.000,ace,gcrr,2022-01-09t12:50:00.000,2022-01-09t12:33:00.000,jet2,ls,exs,309,ls309,exs309,1,2,,,,,,,,,
departure,active,bfs,egaa,,2022-01-09t09:40:00.000,2022-01-09t09:40:00.000,,,,lpa,gclp,2022-01-09t14:15:00.000,,jet2,ls,exs,371,ls371,exs371,,36,,,,,,,,,
departure,active,bfs,egaa,13.0,2022-01-10t08:30:00.000,2022-01-10t08:30:00.000,2022-01-10t08:42:00.000,2022-01-10t08:42:00.000,2022-01-10t08:42:00.000,tfs,gcts,2022-01-10t13:10:00.000,2022-01-10t12:56:00.000,jet2,ls,exs,381,ls381,exs381,,a5,,,,,,,,,
departure,scheduled,bfs,egaa,80.0,2022-01-11t08:20:00.000,2022-01-11t09:40:00.000,,,,ace,gcrr,2022-01-11t12:50:00.000,,jet2,ls,exs,309,ls309,exs309,1,5,,,,,,,,,
departure,active,bfs,egaa,,2022-01-11t08:30:00.000,2022-01-11t08:30:00.000,,,,tfs,gcts,2022-01-11t13:10:00.000,,jet2,ls,exs,381,ls381,exs381,,b2,,,,,,,,,
departure,active,bfs,egaa,3.0,2022-01-12t09:35:00.000,2022-01-12t09:35:00.000,2022-01-12t09:37:00.000,2022-01-12t09:37:00.000,2022-01-12t09:37:00.000,fue,gcfv,2022-01-12t14:05:00.000,2022-01-12t13:39:00.000,jet2,ls,exs,307,ls307,exs307,,6,,,,,,,,,
departure,active,bfs,egaa,14.0,2022-01-13t08:20:00.000,2022-01-13t08:20:00.000,2022-01-13t08:34:00.000,2022-01-13t08:34:00.000,2022-01-13t08:34:00.000,ace,gcrr,2022-01-13t12:50:00.000,2022-01-13t12:33:00.000,jet2,ls,exs,309,ls309,exs309,1,2,,,,,,,,,
departure,active,bfs,egaa,13.0,2022-01-13t08:30:00.000,2022-01-13t08:30:00.000,2022-01-13t08:43:00.000,2022-01-13t08:43:00.000,2022-01-13t08:43:00.000,tfs,gcts,2022-01-13t13:10:00.000,2022-01-13t12:58:00.000,jet2,ls,exs,381,ls381,exs381,,a5,,,,,,,,,
departure,active,bfs,egaa,23.0,2022-01-13t09:40:00.000,2022-01-13t10:03:00.000,,,,lpa,gclp,2022-01-13t14:15:00.000,,jet2,ls,exs,371,ls371,exs371,,41,,,,,,,,,
departure,active,bfs,egaa,9.0,2022-01-14t08:30:00.000,2022-01-14t08:30:00.000,2022-01-14t08:38:00.000,2022-01-14t08:38:00.000,2022-01-14t08:38:00.000,tfs,gcts,2022-01-14t13:10:00.000,2022-01-14t12:56:00.000,jet2,ls,exs,381,ls381,exs381,,a3,,,,,,,,,
departure,active,bfs,egaa,,2022-01-15t07:45:00.000,2022-01-15t07:45:00.000,,,,szg,lows,2022-01-15t11:25:00.000,,jet2,ls,exs,345,ls345,exs345,,,,,,,,,,,
departure,active,bfs,egaa,14.0,2022-01-15t08:30:00.000,2022-01-15t08:30:00.000,2022-01-15t08:44:00.000,2022-01-15t08:44:00.000,2022-01-15t08:44:00.000,tfs,gcts,2022-01-15t13:10:00.000,2022-01-15t12:58:00.000,jet2,ls,exs,381,ls381,exs381,,a4,,,,,,,,,
departure,active,bfs,egaa,8.0,2022-01-15t09:40:00.000,2022-01-15t09:40:00.000,2022-01-15t09:48:00.000,2022-01-15t09:48:00.000,2022-01-15t09:48:00.000,fue,gcfv,2022-01-15t14:10:00.000,2022-01-15t13:54:00.000,jet2,ls,exs,307,ls307,exs307,,4,,,,,,,,,
departure,active,bfs,egaa,22.0,2022-01-16t08:20:00.000,2022-01-16t08:20:00.000,2022-01-16t08:42:00.000,2022-01-16t08:42:00.000,2022-01-16t08:42:00.000,ace,gcrr,2022-01-16t12:50:00.000,2022-01-16t12:39:00.000,jet2,ls,exs,309,ls309,exs309,1,5,,,,,,,,,
departure,active,bfs,egaa,6.0,2022-01-16t09:40:00.000,2022-01-16t09:40:00.000,2022-01-16t09:46:00.000,2022-01-16t09:46:00.000,2022-01-16t09:46:00.000,lpa,gclp,2022-01-16t14:15:00.000,2022-01-16t14:04:00.000,jet2,ls,exs,371,ls371,exs371,,36,,,,,,,,,
departure,active,bfs,egaa,5.0,2022-01-17t08:30:00.000,2022-01-17t08:30:00.000,2022-01-17t08:35:00.000,2022-01-17t08:35:00.000,2022-01-17t08:35:00.000,tfs,gcts,2022-01-17t13:10:00.000,2022-01-17t12:50:00.000,jet2,ls,exs,381,ls381,exs381,,a6,,,,,,,,,
departure,active,bfs,egaa,23.0,2022-01-18t08:20:00.000,2022-01-18t08:20:00.000,2022-01-18t08:43:00.000,2022-01-18t08:43:00.000,2022-01-18t08:43:00.000,ace,gcrr,2022-01-18t12:50:00.000,2022-01-18t12:45:00.000,jet2,ls,exs,309,ls309,exs309,1,5,,,,,,,,,
departure,active,bfs,egaa,11.0,2022-01-18t08:30:00.000,2022-01-18t08:30:00.000,2022-01-18t08:40:00.000,2022-01-18t08:40:00.000,2022-01-18t08:40:00.000,tfs,gcts,2022-01-18t13:10:00.000,2022-01-18t12:52:00.000,jet2,ls,exs,381,ls381,exs381,,a6,,,,,,,,,
departure,active,bfs,egaa,10.0,2022-01-19t09:35:00.000,2022-01-19t09:35:00.000,2022-01-19t09:44:00.000,2022-01-19t09:44:00.000,2022-01-19t09:44:00.000,fue,gcfv,2022-01-19t14:05:00.000,2022-01-19t13:45:00.000,jet2,ls,exs,307,ls307,exs307,,3,,,,,,,,,
departure,active,bfs,egaa,12.0,2022-01-20t08:20:00.000,2022-01-20t08:20:00.000,2022-01-20t08:32:00.000,2022-01-20t08:32:00.000,2022-01-20t08:32:00.000,ace,gcrr,2022-01-20t12:50:00.000,2022-01-20t12:30:00.000,jet2,ls,exs,309,ls309,exs309,1,2,,,,,,,,,
departure,active,bfs,egaa,18.0,2022-01-20t08:30:00.000,2022-01-20t08:30:00.000,2022-01-20t08:48:00.000,2022-01-20t08:48:00.000,2022-01-20t08:48:00.000,tfs,gcts,2022-01-20t13:10:00.000,2022-01-20t12:58:00.000,jet2,ls,exs,381,ls381,exs381,,a4,,,,,,,,,
departure,active,bfs,egaa,11.0,2022-01-20t09:40:00.000,2022-01-20t09:40:00.000,2022-01-20t09:50:00.000,2022-01-20t09:50:00.000,2022-01-20t09:50:00.000,lpa,gclp,2022-01-20t14:15:00.000,2022-01-20t14:06:00.000,jet2,ls,exs,371,ls371,exs371,,35,,,,,,,,,
