type,status,departure.iataCode,departure.icaoCode,departure.gate,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.baggage,arrival.gate,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.delay
departure,active,bhd,egac,7,9.0,2022-01-02t17:20:00.000,2022-01-02t17:20:00.000,2022-01-02t17:29:00.000,2022-01-02t17:29:00.000,2022-01-02t17:29:00.000,ams,eham,2,9,d28,2022-01-02t19:55:00.000,2022-01-02t19:40:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,4.0,2022-01-03t17:20:00.000,2022-01-03t17:20:00.000,2022-01-03t17:24:00.000,2022-01-03t17:24:00.000,2022-01-03t17:24:00.000,ams,eham,2,9,d28,2022-01-03t19:55:00.000,2022-01-03t19:31:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,4.0,2022-01-04t17:20:00.000,2022-01-04t17:20:00.000,2022-01-04t17:23:00.000,2022-01-04t17:23:00.000,2022-01-04t17:23:00.000,ams,eham,,11,d29,2022-01-04t19:55:00.000,2022-01-04t19:33:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,23.0,2022-01-05t17:20:00.000,2022-01-05t17:35:00.000,2022-01-05t17:43:00.000,2022-01-05t17:43:00.000,2022-01-05t17:43:00.000,ams,eham,,13,a08,2022-01-05t19:55:00.000,2022-01-05t19:52:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,23.0,2022-01-06t17:20:00.000,2022-01-06t17:35:00.000,2022-01-06t17:42:00.000,2022-01-06t17:42:00.000,2022-01-06t17:42:00.000,ams,eham,,13,a08,2022-01-06t19:55:00.000,2022-01-06t19:50:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,2.0,2022-01-07t17:20:00.000,2022-01-07t17:20:00.000,2022-01-07t17:21:00.000,2022-01-07t17:21:00.000,2022-01-07t17:21:00.000,ams,eham,,9,d26,2022-01-07t19:55:00.000,2022-01-07t19:31:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,,30.0,2022-01-09t17:20:00.000,2022-01-09t17:50:00.000,,,,ams,eham,,8,a08,2022-01-09t19:55:00.000,,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,,2022-01-10t17:20:00.000,2022-01-10t17:20:00.000,2022-01-10t17:17:00.000,2022-01-10t17:17:00.000,2022-01-10t17:17:00.000,ams,eham,2,10,d26,2022-01-10t19:55:00.000,2022-01-10t19:23:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,8,8.0,2022-01-13t17:20:00.000,2022-01-13t17:20:00.000,2022-01-13t17:28:00.000,2022-01-13t17:28:00.000,2022-01-13t17:28:00.000,ams,eham,,8,a08,2022-01-13t19:55:00.000,2022-01-13t19:41:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,,2022-01-14t17:20:00.000,2022-01-14t17:20:00.000,2022-01-14t17:18:00.000,2022-01-14t17:18:00.000,2022-01-14t17:18:00.000,ams,eham,,8,a08,2022-01-14t19:55:00.000,2022-01-14t19:33:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,cancelled,bhd,egac,,,2022-01-16t17:20:00.000,,,,,ams,eham,,,,2022-01-16t19:55:00.000,,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,,2022-01-20t17:20:00.000,2022-01-20t17:20:00.000,2022-01-20t17:19:00.000,2022-01-20t17:19:00.000,2022-01-20t17:19:00.000,ams,eham,,12,d31,2022-01-20t19:55:00.000,2022-01-20t19:24:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,,2022-01-23t17:20:00.000,2022-01-23t17:20:00.000,2022-01-23t17:14:00.000,2022-01-23t17:14:00.000,2022-01-23t17:14:00.000,ams,eham,,11,d26,2022-01-23t19:55:00.000,2022-01-23t19:23:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,,2022-01-24t17:20:00.000,2022-01-24t17:20:00.000,2022-01-24t17:14:00.000,2022-01-24t17:14:00.000,2022-01-24t17:14:00.000,ams,eham,,8,a08,2022-01-24t19:55:00.000,2022-01-24t19:25:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,8.0,2022-01-27t17:20:00.000,2022-01-27t17:14:00.000,2022-01-27t17:28:00.000,2022-01-27t17:28:00.000,2022-01-27t17:28:00.000,ams,eham,2,10,d28,2022-01-27t19:55:00.000,2022-01-27t19:37:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,3.0,2022-01-28t17:20:00.000,2022-01-28t17:20:00.000,2022-01-28t17:22:00.000,2022-01-28t17:22:00.000,2022-01-28t17:22:00.000,ams,eham,,8,a08,2022-01-28t19:55:00.000,2022-01-28t19:29:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,23.0,2022-01-30t17:20:00.000,2022-01-30t17:26:00.000,2022-01-30t17:43:00.000,2022-01-30t17:43:00.000,2022-01-30t17:43:00.000,ams,eham,,8,a08,2022-01-30t19:55:00.000,2022-01-30t19:50:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,15.0,2022-01-31t17:20:00.000,2022-01-31t17:30:00.000,2022-01-31t17:35:00.000,2022-01-31t17:35:00.000,2022-01-31t17:35:00.000,ams,eham,,8,a08,2022-01-31t19:55:00.000,2022-01-31t19:51:00.000,klm,kl,klm,948,kl948,klm948,,,,,,,
departure,active,bhd,egac,7,9.0,2022-01-02t17:20:00.000,2022-01-02t17:20:00.000,2022-01-02t17:29:00.000,2022-01-02t17:29:00.000,2022-01-02t17:29:00.000,ams,eham,2,9,d28,2022-01-02t19:55:00.000,2022-01-02t19:40:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,7,4.0,2022-01-03t17:20:00.000,2022-01-03t17:20:00.000,2022-01-03t17:24:00.000,2022-01-03t17:24:00.000,2022-01-03t17:24:00.000,ams,eham,2,9,d28,2022-01-03t19:55:00.000,2022-01-03t19:31:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,7,4.0,2022-01-04t17:20:00.000,2022-01-04t17:20:00.000,2022-01-04t17:23:00.000,2022-01-04t17:23:00.000,2022-01-04t17:23:00.000,ams,eham,,11,d29,2022-01-04t19:55:00.000,2022-01-04t19:33:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,7,23.0,2022-01-05t17:20:00.000,2022-01-05t17:35:00.000,2022-01-05t17:43:00.000,2022-01-05t17:43:00.000,2022-01-05t17:43:00.000,ams,eham,,13,a08,2022-01-05t19:55:00.000,2022-01-05t19:52:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,7,23.0,2022-01-06t17:20:00.000,2022-01-06t17:35:00.000,2022-01-06t17:42:00.000,2022-01-06t17:42:00.000,2022-01-06t17:42:00.000,ams,eham,,13,a08,2022-01-06t19:55:00.000,2022-01-06t19:50:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,7,2.0,2022-01-07t17:20:00.000,2022-01-07t17:20:00.000,2022-01-07t17:21:00.000,2022-01-07t17:21:00.000,2022-01-07t17:21:00.000,ams,eham,,9,d26,2022-01-07t19:55:00.000,2022-01-07t19:31:00.000,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
departure,active,bhd,egac,,30.0,2022-01-09t17:20:00.000,2022-01-09t17:50:00.000,,,,ams,eham,,8,a08,2022-01-09t19:55:00.000,,virgin atlantic,vs,vir,6855,vs6855,vir6855,klm,kl,klm,948,kl948,klm948,
