type,status,departure.iataCode,departure.icaoCode,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.baggage,arrival.gate,arrival.delay,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,departure.gate,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber
departure,active,brs,eggd,5.0,2022-01-01t07:05:00.000,2022-01-01t07:05:00.000,2022-01-01t07:10:00.000,2022-01-01t07:10:00.000,2022-01-01t07:10:00.000,sof,lbsf,2,2022-01-01t12:15:00.000,2022-01-01t12:05:00.000,ryanair,fr,ryr,6060,fr6060,ryr6060,,,,,,,,,,,,,
departure,active,brs,eggd,2.0,2022-01-01t07:15:00.000,2022-01-01t07:15:00.000,2022-01-01t07:17:00.000,2022-01-01t07:17:00.000,2022-01-01t07:17:00.000,tfs,gcts,,2022-01-01t11:25:00.000,2022-01-01t11:18:00.000,ryanair,fr,ryr,4753,fr4753,ryr4753,a6,,,,,,,,,,,,
departure,active,brs,eggd,5.0,2022-01-01t07:35:00.000,2022-01-01t07:35:00.000,2022-01-01t07:40:00.000,2022-01-01t07:40:00.000,2022-01-01t07:40:00.000,agp,lemg,,2022-01-01t11:15:00.000,2022-01-01t11:01:00.000,ryanair,fr,ryr,8121,fr8121,ryr8121,,,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-01t07:45:00.000,2022-01-01t07:45:00.000,,,,gnb,lfls,,2022-01-01t10:30:00.000,,ryanair,fr,ryr,1027,fr1027,ryr1027,,,,,,,,,,,,,
departure,unknown,brs,eggd,,2022-01-01t12:05:00.000,2022-01-01t12:05:00.000,,,,tsf,liph,,2022-01-01t15:20:00.000,,ryanair,fr,ryr,3176,fr3176,ryr3176,,,,,,,,,,,,,
departure,active,brs,eggd,8.0,2022-01-01t13:00:00.000,2022-01-01t13:00:00.000,2022-01-01t13:07:00.000,2022-01-01t13:07:00.000,2022-01-01t13:07:00.000,bud,lhbp,2b,2022-01-01t16:30:00.000,2022-01-01t16:19:00.000,ryanair,fr,ryr,8206,fr8206,ryr8206,,,,,,,,,,,,,
departure,active,brs,eggd,4.0,2022-01-01t14:00:00.000,2022-01-01t14:00:00.000,2022-01-01t14:03:00.000,2022-01-01t14:03:00.000,2022-01-01t14:03:00.000,dub,eidw,1,2022-01-01t15:05:00.000,2022-01-01t14:49:00.000,ryanair,fr,ryr,507,fr507,ryr507,6,110,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-01t14:35:00.000,2022-01-01t14:35:00.000,,,,lpa,gclp,,2022-01-01t18:45:00.000,,ryanair,fr,ryr,4757,fr4757,ryr4757,41,,,,,,,,,,,,
departure,active,brs,eggd,9.0,2022-01-01t15:15:00.000,2022-01-01t15:15:00.000,2022-01-01t15:23:00.000,2022-01-01t15:23:00.000,2022-01-01t15:23:00.000,bgy,lime,,2022-01-01t18:20:00.000,2022-01-01t18:04:00.000,ryanair,fr,ryr,8262,fr8262,ryr8262,,,,,,,,,,,,,
departure,active,brs,eggd,12.0,2022-01-01t15:20:00.000,2022-01-01t15:20:00.000,2022-01-01t15:31:00.000,2022-01-01t15:31:00.000,2022-01-01t15:31:00.000,poz,eppo,,2022-01-01t18:30:00.000,2022-01-01t18:23:00.000,ryanair,fr,ryr,8216,fr8216,ryr8216,,,,,,,,,,,,,
departure,active,brs,eggd,11.0,2022-01-01t17:25:00.000,2022-01-01t17:25:00.000,2022-01-01t17:35:00.000,2022-01-01t17:35:00.000,2022-01-01t17:35:00.000,alc,leal,,2022-01-01t20:50:00.000,2022-01-01t20:46:00.000,ryanair,fr,ryr,8296,fr8296,ryr8296,,,,,,,,,,,,,
departure,active,brs,eggd,,2022-01-01t18:00:00.000,2022-01-01t18:00:00.000,,,,bcn,lebl,2,2022-01-01t21:05:00.000,,ryanair,fr,ryr,7514,fr7514,ryr7514,43,,,,,,,,,,,,
departure,active,brs,eggd,4.0,2022-01-01t18:45:00.000,2022-01-01t18:45:00.000,2022-01-01t18:48:00.000,2022-01-01t18:48:00.000,2022-01-01t18:48:00.000,mad,lemd,1,2022-01-01t21:50:00.000,2022-01-01t21:43:00.000,ryanair,fr,ryr,155,fr155,ryr155,06,,,,,,,,,,,,
