type,status,departure.iataCode,departure.icaoCode,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.baggage,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.terminal,arrival.delay,arrival.gate,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,departure.gate
departure,active,ema,egnx,2.0,2022-01-01t07:15:00.000,2022-01-01t07:15:00.000,2022-01-01t07:16:00.000,2022-01-01t07:16:00.000,2022-01-01t07:16:00.000,tfs,gcts,a7,2022-01-01t11:45:00.000,2022-01-01t11:41:00.000,ryanair,fr,ryr,3152,fr3152,ryr3152,,,,,,,
departure,active,ema,egnx,,2022-01-01t08:00:00.000,2022-01-01t08:00:00.000,,,,alc,leal,,2022-01-01t11:35:00.000,,ryanair,fr,ryr,9085,fr9085,ryr9085,,,,,,,
departure,active,ema,egnx,,2022-01-01t08:35:00.000,2022-01-01t08:35:00.000,,,,wmi,epmo,,2022-01-01t11:55:00.000,,ryanair,fr,ryr,4053,fr4053,ryr4053,,,,,,,
departure,active,ema,egnx,,2022-01-01t09:30:00.000,2022-01-01t09:30:00.000,,,,bgy,lime,,2022-01-01t12:30:00.000,,ryanair,fr,ryr,1702,fr1702,ryr1702,,,,,,,
departure,active,ema,egnx,,2022-01-01t14:30:00.000,2022-01-01t14:30:00.000,,,,noc,eikn,,2022-01-01t15:45:00.000,,ryanair,fr,ryr,1742,fr1742,ryr1742,,,,,,,
departure,active,ema,egnx,,2022-01-01t14:45:00.000,2022-01-01t14:45:00.000,2022-01-01t14:44:00.000,2022-01-01t14:44:00.000,2022-01-01t14:44:00.000,fue,gcfv,4,2022-01-01t19:00:00.000,2022-01-01t18:52:00.000,ryanair,fr,ryr,3701,fr3701,ryr3701,,,,,,,
departure,active,ema,egnx,7.0,2022-01-01t15:20:00.000,2022-01-01t15:20:00.000,2022-01-01t15:26:00.000,2022-01-01t15:26:00.000,2022-01-01t15:26:00.000,ace,gcrr,5,2022-01-01t19:20:00.000,2022-01-01t19:24:00.000,ryanair,fr,ryr,3172,fr3172,ryr3172,1,5.0,,,,,
departure,active,ema,egnx,3.0,2022-01-01t17:55:00.000,2022-01-01t17:55:00.000,2022-01-01t17:57:00.000,2022-01-01t17:57:00.000,2022-01-01t17:57:00.000,krk,epkk,,2022-01-01t21:20:00.000,2022-01-01t20:56:00.000,ryanair,fr,ryr,1724,fr1724,ryr1724,t,,,,,,
departure,active,ema,egnx,,2022-01-01t21:10:00.000,2022-01-01t21:00:00.000,2022-01-01t21:06:00.000,2022-01-01t21:06:00.000,2022-01-01t21:06:00.000,dub,eidw,5,2022-01-01t22:15:00.000,2022-01-01t21:49:00.000,ryanair,fr,ryr,537,fr537,ryr537,1,,106,,,,
departure,active,ema,egnx,,2022-01-01t08:35:00.000,2022-01-01t08:45:00.000,2022-01-01t08:32:00.000,2022-01-01t08:32:00.000,2022-01-01t08:32:00.000,wmi,epmo,,2022-01-01t11:51:00.000,2022-01-01t11:35:00.000,ryanair,fr,ryr,2217,fr2217,ryr2217,,,,,,,
departure,active,ema,egnx,4.0,2022-01-02t05:45:00.000,2022-01-02t05:45:00.000,2022-01-02t05:48:00.000,2022-01-02t05:48:00.000,2022-01-02t05:48:00.000,wro,epwr,,2022-01-02t09:00:00.000,2022-01-02t08:36:00.000,ryanair,fr,ryr,1646,fr1646,ryr1646,,,,,,,
departure,active,ema,egnx,,2022-01-02t06:15:00.000,2022-01-02t06:15:00.000,,,,agp,lemg,,2022-01-02t10:05:00.000,,ryanair,fr,ryr,4458,fr4458,ryr4458,,,,,,,
departure,active,ema,egnx,,2022-01-02t06:30:00.000,2022-01-02t06:30:00.000,,,,rze,eprz,,2022-01-02t10:05:00.000,,ryanair,fr,ryr,7622,fr7622,ryr7622,,,,,,,
departure,active,ema,egnx,,2022-01-02t06:50:00.000,2022-01-02t06:50:00.000,,,,tfs,gcts,b2,2022-01-02t11:20:00.000,,ryanair,fr,ryr,3152,fr3152,ryr3152,,,,,,,
departure,active,ema,egnx,,2022-01-02t15:05:00.000,2022-01-02t15:05:00.000,2022-01-02t15:03:00.000,2022-01-02t15:03:00.000,2022-01-02t15:03:00.000,ace,gcrr,3,2022-01-02t19:05:00.000,2022-01-02t19:03:00.000,ryanair,fr,ryr,3172,fr3172,ryr3172,1,,,,,,
departure,active,ema,egnx,,2022-01-02t11:10:00.000,2022-01-02t11:10:00.000,,,,noc,eikn,,2022-01-02t12:25:00.000,,ryanair,fr,ryr,1742,fr1742,ryr1742,,,,,,,
departure,active,ema,egnx,3.0,2022-01-02t13:55:00.000,2022-01-02t13:55:00.000,2022-01-02t13:58:00.000,2022-01-02t13:58:00.000,2022-01-02t13:58:00.000,lig,lfbl,,2022-01-02t16:35:00.000,2022-01-02t16:17:00.000,ryanair,fr,ryr,1632,fr1632,ryr1632,,,,,,,
departure,active,ema,egnx,,2022-01-02t14:10:00.000,2022-01-02t14:10:00.000,,,,lpa,gclp,37,2022-01-02t18:35:00.000,,ryanair,fr,ryr,3162,fr3162,ryr3162,,,,,,,
departure,active,ema,egnx,1.0,2022-01-02t17:30:00.000,2022-01-02t17:30:00.000,2022-01-02t17:30:00.000,2022-01-02t17:30:00.000,2022-01-02t17:30:00.000,fao,lpfr,,2022-01-02t20:25:00.000,2022-01-02t20:11:00.000,ryanair,fr,ryr,1766,fr1766,ryr1766,,,,,,,
departure,active,ema,egnx,10.0,2022-01-02t18:05:00.000,2022-01-02t18:05:00.000,2022-01-02t18:15:00.000,2022-01-02t18:15:00.000,2022-01-02t18:15:00.000,alc,leal,,2022-01-02t21:40:00.000,2022-01-02t21:33:00.000,ryanair,fr,ryr,9085,fr9085,ryr9085,,,,,,,
departure,active,ema,egnx,,2022-01-02t22:05:00.000,2022-01-02t21:55:00.000,,,,dub,eidw,9,2022-01-02t23:10:00.000,,ryanair,fr,ryr,537,fr537,ryr537,1,,vcc1,,,,
departure,active,ema,egnx,11.0,2022-01-02t14:45:00.000,2022-01-02t14:55:00.000,2022-01-02t14:55:00.000,2022-01-02t14:55:00.000,2022-01-02t14:55:00.000,stn,egss,,2022-01-02t15:25:00.000,,ryanair,fr,ryr,788,fr788,ryr788,,3.0,,2022-01-02t15:27:00.000,2022-01-02t15:27:00.000,2022-01-02t15:27:00.000,
departure,active,ema,egnx,11.0,2022-01-03t06:05:00.000,2022-01-03t06:05:00.000,2022-01-03t06:15:00.000,2022-01-03t06:15:00.000,2022-01-03t06:15:00.000,lcj,epll,,2022-01-03t09:20:00.000,2022-01-03t09:17:00.000,ryanair,fr,ryr,1624,fr1624,ryr1624,,,,,,,
departure,active,ema,egnx,22.0,2022-01-03t06:05:00.000,2022-01-03t06:05:00.000,2022-01-03t06:27:00.000,2022-01-03t06:27:00.000,2022-01-03t06:27:00.000,fue,gcfv,,2022-01-03t10:20:00.000,2022-01-03t10:29:00.000,ryanair,fr,ryr,3701,fr3701,ryr3701,,9.0,,,,,
departure,active,ema,egnx,,2022-01-03t06:30:00.000,2022-01-03t06:30:00.000,,,,rix,evra,,2022-01-03t11:05:00.000,,ryanair,fr,ryr,1664,fr1664,ryr1664,,,c,,,,
departure,active,ema,egnx,,2022-01-03t06:35:00.000,2022-01-03t06:35:00.000,,,,ace,gcrr,7,2022-01-03t10:35:00.000,,ryanair,fr,ryr,3172,fr3172,ryr3172,1,,,,,,
departure,active,ema,egnx,,2022-01-03t09:55:00.000,2022-01-03t09:55:00.000,,,,bud,lhbp,,2022-01-03t13:30:00.000,,ryanair,fr,ryr,221,fr221,ryr221,2b,,,,,,
departure,active,ema,egnx,15.0,2022-01-03t10:30:00.000,2022-01-03t10:30:00.000,2022-01-03t10:44:00.000,2022-01-03t10:44:00.000,2022-01-03t10:44:00.000,agp,lemg,,2022-01-03t14:20:00.000,2022-01-03t14:20:00.000,ryanair,fr,ryr,4458,fr4458,ryr4458,,,,,,,
departure,active,ema,egnx,,2022-01-03t11:50:00.000,2022-01-03t11:50:00.000,,,,noc,eikn,,2022-01-03t13:05:00.000,,ryanair,fr,ryr,1742,fr1742,ryr1742,,,,,,,
departure,active,ema,egnx,,2022-01-03t13:25:00.000,2022-01-03t13:25:00.000,,,,ber,eddb,b4,2022-01-03t16:20:00.000,,ryanair,fr,ryr,1638,fr1638,ryr1638,1,,n01,,,,
departure,active,ema,egnx,,2022-01-03t15:30:00.000,2022-01-03t15:30:00.000,,,,tfs,gcts,a4,2022-01-03t20:00:00.000,,ryanair,fr,ryr,3152,fr3152,ryr3152,,,,,,,
departure,active,ema,egnx,,2022-01-03t16:15:00.000,2022-01-03t16:15:00.000,,,,mla,lmml,,2022-01-03t20:30:00.000,,ryanair,fr,ryr,2411,fr2411,ryr2411,,,,,,,
departure,active,ema,egnx,5.0,2022-01-03t17:45:00.000,2022-01-03t17:35:00.000,2022-01-03t17:50:00.000,2022-01-03t17:50:00.000,2022-01-03t17:50:00.000,alc,leal,,2022-01-03t21:20:00.000,2022-01-03t21:07:00.000,ryanair,fr,ryr,9085,fr9085,ryr9085,,,,,,,
departure,active,ema,egnx,,2022-01-03t18:15:00.000,2022-01-03t18:15:00.000,,,,wro,epwr,,2022-01-03t21:30:00.000,,ryanair,fr,ryr,1646,fr1646,ryr1646,,,,,,,
departure,active,ema,egnx,3.0,2022-01-03t21:10:00.000,2022-01-03t21:00:00.000,2022-01-03t21:13:00.000,2022-01-03t21:13:00.000,2022-01-03t21:13:00.000,dub,eidw,5,2022-01-03t22:15:00.000,2022-01-03t21:56:00.000,ryanair,fr,ryr,537,fr537,ryr537,1,,104,,,,
departure,active,ema,egnx,,2022-01-04t11:55:00.000,2022-01-04t11:55:00.000,,,,krk,epkk,,2022-01-04t15:20:00.000,,ryanair,fr,ryr,1724,fr1724,ryr1724,t,,,,,,
departure,active,ema,egnx,,2022-01-04t12:45:00.000,2022-01-04t12:45:00.000,,,,bgy,lime,,2022-01-04t15:45:00.000,,ryanair,fr,ryr,1702,fr1702,ryr1702,,,,,,,
departure,active,ema,egnx,42.0,2022-01-04t13:30:00.000,2022-01-04t14:12:00.000,,,,wmi,epmo,,2022-01-04t16:50:00.000,,ryanair,fr,ryr,4053,fr4053,ryr4053,,,,,,,
departure,active,ema,egnx,,2022-01-04t20:20:00.000,2022-01-04t20:10:00.000,,,,alc,leal,,2022-01-04t23:55:00.000,,ryanair,fr,ryr,9085,fr9085,ryr9085,,,,,,,
departure,active,ema,egnx,,2022-01-04t21:10:00.000,2022-01-04t21:00:00.000,,,,dub,eidw,6,2022-01-04t22:15:00.000,,ryanair,fr,ryr,537,fr537,ryr537,1,,112,,,,
departure,active,ema,egnx,10.0,2022-01-04t13:30:00.000,2022-01-04t13:40:00.000,,,,wmi,epmo,,2022-01-04t16:32:00.000,,ryanair,fr,ryr,2217,fr2217,ryr2217,,,,,,,
departure,active,ema,egnx,9.0,2022-01-04t08:30:00.000,,2022-01-04t08:39:00.000,2022-01-04t08:39:00.000,2022-01-04t08:39:00.000,snn,einn,,2022-01-04t09:37:00.000,,ryanair,fr,ryr,33,fr33,ryr33,,,,,,,
departure,active,ema,egnx,,2022-01-05t09:15:00.000,2022-01-05t09:15:00.000,,,,agp,lemg,,2022-01-05t13:05:00.000,,ryanair,fr,ryr,4458,fr4458,ryr4458,,,,,,,
departure,active,ema,egnx,,2022-01-05t19:25:00.000,2022-01-05t19:25:00.000,,,,fao,lpfr,,2022-01-05t22:20:00.000,,ryanair,fr,ryr,1766,fr1766,ryr1766,,,,,,,
departure,active,ema,egnx,,2022-01-05t19:40:00.000,2022-01-05t19:40:00.000,,,,alc,leal,,2022-01-05t23:15:00.000,,ryanair,fr,ryr,9085,fr9085,ryr9085,,,,,,,
departure,active,ema,egnx,,2022-01-05t21:10:00.000,2022-01-05t21:10:00.000,2022-01-05t21:06:00.000,2022-01-05t21:06:00.000,2022-01-05t21:06:00.000,dub,eidw,5,2022-01-05t22:15:00.000,2022-01-05t21:47:00.000,ryanair,fr,ryr,537,fr537,ryr537,1,,1xn,,,,
departure,active,ema,egnx,7.0,2022-01-06t12:05:00.000,2022-01-06t12:05:00.000,2022-01-06t12:12:00.000,2022-01-06t12:12:00.000,2022-01-06t12:12:00.000,krk,epkk,,2022-01-06t15:30:00.000,2022-01-06t15:13:00.000,ryanair,fr,ryr,1724,fr1724,ryr1724,t,,,,,,
departure,active,ema,egnx,,2022-01-06t17:55:00.000,2022-01-06t17:55:00.000,,,,alc,leal,,2022-01-06t21:30:00.000,,ryanair,fr,ryr,9085,fr9085,ryr9085,,,,,,,
departure,active,ema,egnx,,2022-01-06t21:10:00.000,2022-01-06t21:10:00.000,2022-01-06t21:06:00.000,2022-01-06t21:06:00.000,2022-01-06t21:06:00.000,dub,eidw,8,2022-01-06t22:15:00.000,2022-01-06t21:47:00.000,ryanair,fr,ryr,537,fr537,ryr537,1,,107,,,,
departure,active,ema,egnx,,2022-01-07t06:40:00.000,2022-01-07t06:40:00.000,,,,lig,lfbl,,2022-01-07t09:20:00.000,,ryanair,fr,ryr,1632,fr1632,ryr1632,,,,,,,
departure,active,ema,egnx,,2022-01-07t07:00:00.000,2022-01-07t07:00:00.000,,,,bud,lhbp,,2022-01-07t10:35:00.000,,ryanair,fr,ryr,221,fr221,ryr221,2b,,,,,,
departure,active,ema,egnx,,2022-01-07t07:05:00.000,2022-01-07t07:05:00.000,,,,ace,gcrr,2,2022-01-07t11:05:00.000,,ryanair,fr,ryr,3172,fr3172,ryr3172,1,,,,,,
departure,active,ema,egnx,6.0,2022-01-07t08:00:00.000,2022-01-07t08:00:00.000,2022-01-07t08:05:00.000,2022-01-07t08:05:00.000,2022-01-07t08:05:00.000,ber,eddb,b2,2022-01-07t10:55:00.000,2022-01-07t10:35:00.000,ryanair,fr,ryr,1638,fr1638,ryr1638,1,,n01,,,,
departure,active,ema,egnx,,2022-01-07t08:10:00.000,2022-01-07t08:10:00.000,,,,lcj,epll,,2022-01-07t11:25:00.000,,ryanair,fr,ryr,1624,fr1624,ryr1624,,,,,,,
departure,active,ema,egnx,,2022-01-07t10:30:00.000,2022-01-07t10:30:00.000,,,,alc,leal,,2022-01-07t14:05:00.000,,ryanair,fr,ryr,9085,fr9085,ryr9085,,,,,,,
departure,active,ema,egnx,31.0,2022-01-07t10:50:00.000,2022-01-07t10:50:00.000,2022-01-07t11:20:00.000,2022-01-07t11:20:00.000,2022-01-07t11:20:00.000,wro,epwr,,2022-01-07t14:05:00.000,2022-01-07t14:05:00.000,ryanair,fr,ryr,1646,fr1646,ryr1646,,,,,,,
departure,active,ema,egnx,,2022-01-07t13:30:00.000,2022-01-07t13:30:00.000,,,,tfs,gcts,a3,2022-01-07t18:00:00.000,,ryanair,fr,ryr,3152,fr3152,ryr3152,,,,,,,
departure,active,ema,egnx,6.0,2022-01-07t13:55:00.000,2022-01-07t13:55:00.000,2022-01-07t14:00:00.000,2022-01-07t14:00:00.000,2022-01-07t14:00:00.000,noc,eikn,,2022-01-07t15:10:00.000,2022-01-07t14:59:00.000,ryanair,fr,ryr,1742,fr1742,ryr1742,,,,,,,
departure,active,ema,egnx,,2022-01-07t16:40:00.000,2022-01-07t16:40:00.000,,,,mla,lmml,,2022-01-07t20:55:00.000,,ryanair,fr,ryr,2411,fr2411,ryr2411,,,,,,,
departure,active,ema,egnx,,2022-01-07t17:15:00.000,2022-01-07t17:15:00.000,,,,agp,lemg,,2022-01-07t21:05:00.000,,ryanair,fr,ryr,4458,fr4458,ryr4458,,,,,,,
departure,active,ema,egnx,,2022-01-07t17:35:00.000,2022-01-07t17:35:00.000,,,,rze,eprz,,2022-01-07t21:10:00.000,,ryanair,fr,ryr,7622,fr7622,ryr7622,,,,,,,
departure,active,ema,egnx,,2022-01-07t18:15:00.000,2022-01-07t18:15:00.000,,,,rix,evra,,2022-01-07t22:50:00.000,,ryanair,fr,ryr,1664,fr1664,ryr1664,,,c,,,,
departure,active,ema,egnx,,2022-01-07t21:10:00.000,2022-01-07t21:00:00.000,2022-01-07t20:57:00.000,2022-01-07t20:57:00.000,2022-01-07t20:57:00.000,dub,eidw,5,2022-01-07t22:15:00.000,2022-01-07t21:39:00.000,ryanair,fr,ryr,537,fr537,ryr537,1,,102,,,,
departure,active,ema,egnx,10.0,2022-01-07t15:00:00.000,2022-01-07t15:10:00.000,,,,svq,lezl,,2022-01-07t18:35:00.000,,ryanair,fr,ryr,223,fr223,ryr223,,,,,,,
departure,active,ema,egnx,,2022-01-08t07:15:00.000,2022-01-08t07:15:00.000,,,,tfs,gcts,b6,2022-01-08t11:45:00.000,,ryanair,fr,ryr,3152,fr3152,ryr3152,,,,,,,
