type,status,departure.iataCode,departure.icaoCode,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.baggage,arrival.terminal,departure.delay,arrival.delay,arrival.gate,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway
departure,active,ext,egte,2022-01-01t17:35:00.000,2022-01-01t17:35:00.000,2022-01-01t17:34:00.000,2022-01-01t17:34:00.000,2022-01-01t17:34:00.000,alc,leal,2022-01-01t20:50:00.000,2022-01-01t20:44:00.000,ryanair,fr,ryr,2797,fr2797,ryr2797,,,,,,,,
departure,active,ext,egte,2022-01-02t09:30:00.000,2022-01-02t09:30:00.000,,,,agp,lemg,2022-01-02t13:00:00.000,,ryanair,fr,ryr,3524,fr3524,ryr3524,,,,,,,,
departure,active,ext,egte,2022-01-08t17:35:00.000,2022-01-08t17:35:00.000,,,,alc,leal,2022-01-08t20:50:00.000,,ryanair,fr,ryr,2797,fr2797,ryr2797,3b,,,,,,,
departure,active,ext,egte,2022-01-09t09:30:00.000,2022-01-09t09:30:00.000,,,,agp,lemg,2022-01-09t13:00:00.000,,ryanair,fr,ryr,3524,fr3524,ryr3524,,,,,,,,
departure,active,ext,egte,2022-01-02t10:00:00.000,,,,,ace,gcrr,2022-01-02t13:50:00.000,,tui airways,by,tom,6700,by6700,tom6700,2,1,,,,,,
departure,active,ext,egte,2022-01-03t09:45:00.000,,,,,lpa,gclp,2022-01-03t13:45:00.000,,tui airways,by,tom,6170,by6170,tom6170,43,,,,,,,
departure,active,ext,egte,2022-01-04t06:00:00.000,,,,,cmf,lflb,2022-01-04t08:55:00.000,,tui airways,by,tom,6220,by6220,tom6220,,,,,,,,
departure,active,ext,egte,2022-01-04t12:30:00.000,,2022-01-04t12:38:00.000,2022-01-04t12:38:00.000,2022-01-04t12:38:00.000,tfs,gcts,2022-01-04t16:35:00.000,2022-01-04t16:23:00.000,tui airways,by,tom,6242,by6242,tom6242,a2,,8.0,,,,,
departure,active,ext,egte,2022-01-06t07:00:00.000,,,,,ace,gcrr,2022-01-06t10:50:00.000,,tui airways,by,tom,6462,by6462,tom6462,4,1,,,,,,
departure,active,ext,egte,2022-01-06t07:00:00.000,2022-01-06t07:11:00.000,,,,ace,gcrr,2022-01-06t10:29:00.000,,tui airways,by,tom,462,by462,tom462,,,11.0,,,,,
departure,active,ext,egte,2022-01-07t07:25:00.000,,,,,tfs,gcts,2022-01-07t11:30:00.000,,tui airways,by,tom,6584,by6584,tom6584,a7,,,,,,,
departure,active,ext,egte,2022-01-08t06:00:00.000,,,,,cmf,lflb,2022-01-08t08:45:00.000,,tui airways,by,tom,6620,by6620,tom6620,,,,,,,,
departure,active,ext,egte,2022-01-09t10:00:00.000,,2022-01-09t10:06:00.000,2022-01-09t10:06:00.000,2022-01-09t10:06:00.000,ace,gcrr,2022-01-09t13:50:00.000,,tui airways,by,tom,6700,by6700,tom6700,5,1,6.0,,,,,
departure,active,ext,egte,2022-01-10t09:45:00.000,,,,,lpa,gclp,2022-01-10t13:45:00.000,,tui airways,by,tom,6170,by6170,tom6170,41,,,,,,,
departure,active,ext,egte,2022-01-11t11:15:00.000,,2022-01-11t11:18:00.000,2022-01-11t11:18:00.000,2022-01-11t11:18:00.000,tfs,gcts,2022-01-11t15:20:00.000,2022-01-11t15:06:00.000,tui airways,by,tom,6242,by6242,tom6242,a7,,3.0,,,,,
departure,active,ext,egte,2022-01-13t07:00:00.000,,,,,ace,gcrr,2022-01-13t10:50:00.000,,tui airways,by,tom,6462,by6462,tom6462,2,1,,,,,,
departure,active,ext,egte,2022-01-13t07:00:00.000,2022-01-13t07:11:00.000,,,,ace,gcrr,2022-01-13t10:42:00.000,,tui airways,by,tom,462,by462,tom462,,,11.0,,,,,
departure,active,ext,egte,2022-01-14t07:25:00.000,2022-01-14t07:25:00.000,,,,tfs,gcts,2022-01-14t11:30:00.000,,tui airways,by,tom,6584,by6584,tom6584,a6,,,,,,,
departure,active,ext,egte,2022-01-15t06:00:00.000,,,,,cmf,lflb,2022-01-15t08:45:00.000,,tui airways,by,tom,6620,by6620,tom6620,,,,,,,,
departure,active,ext,egte,2022-01-15t06:00:00.000,2022-01-15t06:11:00.000,,,,cmf,lflb,2022-01-15t08:45:00.000,,tui airways,by,tom,620,by620,tom620,,,11.0,,,,,
departure,active,ext,egte,2022-01-16t10:00:00.000,,2022-01-16t09:59:00.000,2022-01-16t09:59:00.000,2022-01-16t09:59:00.000,ace,gcrr,2022-01-16t13:50:00.000,2022-01-16t13:30:00.000,tui airways,by,tom,6700,by6700,tom6700,4,1,,,,,,
departure,active,ext,egte,2022-01-17t09:45:00.000,2022-01-17t09:45:00.000,,,,lpa,gclp,2022-01-17t13:45:00.000,,tui airways,by,tom,6170,by6170,tom6170,35,,,,,,,
departure,active,ext,egte,2022-01-18t11:15:00.000,2022-01-18t11:15:00.000,,,,tfs,gcts,2022-01-18t15:20:00.000,,tui airways,by,tom,6242,by6242,tom6242,a3,,,,,,,
departure,active,ext,egte,2022-01-20t07:00:00.000,,,,,ace,gcrr,2022-01-20t10:50:00.000,,tui airways,by,tom,6462,by6462,tom6462,5,1,,,,,,
departure,active,ext,egte,2022-01-20t07:00:00.000,2022-01-20t07:11:00.000,,,,ace,gcrr,2022-01-20t10:39:00.000,,tui airways,by,tom,462,by462,tom462,,,11.0,,,,,
departure,active,ext,egte,2022-01-21t07:25:00.000,,2022-01-21t07:41:00.000,2022-01-21t07:41:00.000,2022-01-21t07:41:00.000,tfs,gcts,2022-01-21t11:30:00.000,2022-01-21t11:29:00.000,tui airways,by,tom,6584,by6584,tom6584,a7,,17.0,,,,,
departure,active,ext,egte,2022-01-22t06:00:00.000,,,,,cmf,lflb,2022-01-22t08:45:00.000,,tui airways,by,tom,6620,by6620,tom6620,,,,,,,,
departure,active,ext,egte,2022-01-22t06:00:00.000,2022-01-22t06:11:00.000,,,,cmf,lflb,2022-01-22t08:36:00.000,,tui airways,by,tom,620,by620,tom620,,,11.0,,,,,
departure,active,ext,egte,2022-01-23t10:00:00.000,,2022-01-23t10:06:00.000,2022-01-23t10:06:00.000,2022-01-23t10:06:00.000,ace,gcrr,2022-01-23t13:50:00.000,2022-01-23t13:39:00.000,tui airways,by,tom,6700,by6700,tom6700,5,1,6.0,,,,,
departure,active,ext,egte,2022-01-24t09:45:00.000,2022-01-24t09:45:00.000,,,,lpa,gclp,2022-01-24t13:45:00.000,,tui airways,by,tom,6170,by6170,tom6170,35,,,,,,,
departure,active,ext,egte,2022-01-25t11:15:00.000,,2022-01-25t11:17:00.000,2022-01-25t11:17:00.000,2022-01-25t11:17:00.000,tfs,gcts,2022-01-25t15:20:00.000,2022-01-25t14:58:00.000,tui airways,by,tom,6242,by6242,tom6242,a1,,2.0,,,,,
departure,active,ext,egte,2022-01-27t07:00:00.000,,,,,ace,gcrr,2022-01-27t10:50:00.000,,tui airways,by,tom,6462,by6462,tom6462,4,1,,,,,,
