type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.gate,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.baggage,arrival.gate,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.delay,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber
departure,active,gla,egpf,m,7,2022-01-01t10:10:00.000,2022-01-01t10:10:00.000,2022-01-01t10:06:00.000,2022-01-01t10:06:00.000,2022-01-01t10:06:00.000,dub,eidw,1,5,108,2022-01-01t11:10:00.000,2022-01-01t10:47:00.000,ryanair,fr,ryr,5771,fr5771,ryr5771,,,,,,,,,,,
departure,active,gla,egpf,m,36,2022-01-01t12:05:00.000,2022-01-01t12:05:00.000,2022-01-01t11:59:00.000,2022-01-01t11:59:00.000,2022-01-01t11:59:00.000,agp,lemg,,,,2022-01-01t16:20:00.000,2022-01-01t16:00:00.000,ryanair,fr,ryr,2609,fr2609,ryr2609,,,,,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-01t15:35:00.000,2022-01-01t15:35:00.000,2022-01-01t15:35:00.000,2022-01-01t15:35:00.000,2022-01-01t15:35:00.000,dub,eidw,1,4,109,2022-01-01t16:35:00.000,2022-01-01t16:25:00.000,ryanair,fr,ryr,5773,fr5773,ryr5773,1.0,,,,,,,,,,
departure,active,gla,egpf,m,7,2022-01-01t20:20:00.000,2022-01-01t20:20:00.000,2022-01-01t20:23:00.000,2022-01-01t20:23:00.000,2022-01-01t20:23:00.000,dub,eidw,1,2,107,2022-01-01t21:20:00.000,2022-01-01t21:05:00.000,ryanair,fr,ryr,5775,fr5775,ryr5775,4.0,2022-01-01t21:04:00.000,2022-01-01t21:04:00.000,2022-01-01t21:04:00.000,,,,,,,
departure,active,gla,egpf,m,11,2022-01-02t08:40:00.000,2022-01-02t08:40:00.000,2022-01-02t08:41:00.000,2022-01-02t08:41:00.000,2022-01-02t08:41:00.000,dub,eidw,1,4,104,2022-01-02t09:40:00.000,,ryanair,fr,ryr,5771,fr5771,ryr5771,2.0,2022-01-02t09:22:00.000,2022-01-02t09:22:00.000,2022-01-02t09:22:00.000,,,,,,,
departure,scheduled,gla,egpf,m,34,2022-01-02t09:50:00.000,2022-01-02t10:55:00.000,,,,krk,epkk,t,,,2022-01-02t13:35:00.000,,ryanair,fr,ryr,4004,fr4004,ryr4004,65.0,,,,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-02t16:00:00.000,2022-01-02t16:00:00.000,2022-01-02t16:08:00.000,2022-01-02t16:08:00.000,2022-01-02t16:08:00.000,dub,eidw,1,5,108,2022-01-02t17:00:00.000,2022-01-02t16:46:00.000,ryanair,fr,ryr,5775,fr5775,ryr5775,8.0,,,,,,,,,,
departure,active,gla,egpf,m,26,2022-01-03t08:30:00.000,2022-01-03t08:30:00.000,,,,dub,eidw,1,9,1xs,2022-01-03t09:30:00.000,,ryanair,fr,ryr,5771,fr5771,ryr5771,,,,,,,,,,,
departure,active,gla,egpf,m,25,2022-01-03t09:05:00.000,2022-01-03t09:05:00.000,2022-01-03t09:16:00.000,2022-01-03t09:16:00.000,2022-01-03t09:16:00.000,wro,epwr,,,,2022-01-03t12:30:00.000,2022-01-03t12:16:00.000,ryanair,fr,ryr,7672,fr7672,ryr7672,11.0,,,,,,,,,,
departure,active,gla,egpf,m,7c,2022-01-03t15:35:00.000,2022-01-03t15:43:00.000,2022-01-03t15:54:00.000,2022-01-03t15:54:00.000,2022-01-03t15:54:00.000,dub,eidw,1,8,105,2022-01-03t16:35:00.000,2022-01-03t16:32:00.000,ryanair,fr,ryr,5773,fr5773,ryr5773,19.0,,,,,,,,,,
