type,status,departure.iataCode,departure.icaoCode,departure.gate,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.baggage,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.gate,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber
departure,active,lba,egnm,8,6.0,2022-01-01t06:05:00.000,2022-01-01t06:05:00.000,2022-01-01t06:10:00.000,2022-01-01t06:10:00.000,2022-01-01t06:10:00.000,ace,gcrr,1,3,2022-01-01t10:25:00.000,2022-01-01t10:14:00.000,ryanair,fr,ryr,2048,fr2048,ryr2048,,,,,,,,,,,
departure,active,lba,egnm,6,,2022-01-01t11:00:00.000,2022-01-01t11:00:00.000,2022-01-01t10:54:00.000,2022-01-01t10:54:00.000,2022-01-01t10:54:00.000,dub,eidw,1,3,2022-01-01t12:00:00.000,,ryanair,fr,ryr,153,fr153,ryr153,109,2022-01-01t11:36:00.000,2022-01-01t11:36:00.000,2022-01-01t11:36:00.000,,,,,,,
departure,active,lba,egnm,3,,2022-01-01t12:55:00.000,2022-01-01t12:55:00.000,,,,tfs,gcts,,a1,2022-01-01t17:35:00.000,,ryanair,fr,ryr,2492,fr2492,ryr2492,,,,,,,,,,,
departure,active,lba,egnm,6,15.0,2022-01-01t16:25:00.000,2022-01-01t16:25:00.000,2022-01-01t16:40:00.000,2022-01-01t16:40:00.000,2022-01-01t16:40:00.000,rix,evra,,,2022-01-01t21:00:00.000,2022-01-01t20:52:00.000,ryanair,fr,ryr,2482,fr2482,ryr2482,c,,,,,,,,,,
departure,active,lba,egnm,,,2022-01-01t18:35:00.000,2022-01-01t18:35:00.000,,,,poz,eppo,,,2022-01-01t21:45:00.000,,ryanair,fr,ryr,5606,fr5606,ryr5606,,,,,,,,,,,
departure,active,lba,egnm,7,,2022-01-02t06:50:00.000,2022-01-02t06:50:00.000,,,,gdn,epgd,,,2022-01-02t10:00:00.000,,ryanair,fr,ryr,1503,fr1503,ryr1503,,,,,,,,,,,
departure,active,lba,egnm,,,2022-01-02t07:20:00.000,2022-01-02t07:20:00.000,,,,bts,lzib,,,2022-01-02t10:45:00.000,,ryanair,fr,ryr,5041,fr5041,ryr5041,,,,,,,,,,,
departure,active,lba,egnm,6,5.0,2022-01-02t12:20:00.000,2022-01-02t12:20:00.000,2022-01-02t12:25:00.000,2022-01-02t12:25:00.000,2022-01-02t12:25:00.000,dub,eidw,1,8,2022-01-02t13:20:00.000,,ryanair,fr,ryr,153,fr153,ryr153,111,2022-01-02t13:07:00.000,2022-01-02t13:07:00.000,2022-01-02t13:07:00.000,,,,,,,
departure,active,lba,egnm,3,3.0,2022-01-02t13:35:00.000,2022-01-02t13:35:00.000,2022-01-02t13:38:00.000,2022-01-02t13:38:00.000,2022-01-02t13:38:00.000,krk,epkk,t,,2022-01-02t17:00:00.000,2022-01-02t16:42:00.000,ryanair,fr,ryr,2332,fr2332,ryr2332,,,,,,,,,,,
departure,active,lba,egnm,,,2022-01-02t16:45:00.000,2022-01-02t16:45:00.000,,,,wmi,epmo,,,2022-01-02t20:05:00.000,,ryanair,fr,ryr,2203,fr2203,ryr2203,,,,,,,,,,,
departure,active,lba,egnm,,,2022-01-02t19:25:00.000,2022-01-02t19:25:00.000,,,,dub,eidw,1,5,2022-01-02t20:25:00.000,,ryanair,fr,ryr,157,fr157,ryr157,112,,,,,,,,,,
departure,active,lba,egnm,,,2022-01-03t06:15:00.000,2022-01-03t06:15:00.000,,,,ace,gcrr,1,5,2022-01-03t10:35:00.000,,ryanair,fr,ryr,2048,fr2048,ryr2048,,,,,,,,,,,
departure,active,lba,egnm,,,2022-01-03t06:20:00.000,2022-01-03t06:20:00.000,,,,agp,lemg,,,2022-01-03t10:20:00.000,,ryanair,fr,ryr,2446,fr2446,ryr2446,,,,,,,,,,,
departure,active,lba,egnm,,,2022-01-03t09:10:00.000,2022-01-03t09:10:00.000,,,,dub,eidw,1,6,2022-01-03t10:10:00.000,,ryanair,fr,ryr,153,fr153,ryr153,111,,,,,,,,,,
departure,active,lba,egnm,7,25.0,2022-01-03t14:00:00.000,2022-01-03t14:00:00.000,2022-01-03t14:24:00.000,2022-01-03t14:24:00.000,2022-01-03t14:24:00.000,gdn,epgd,,,2022-01-03t17:10:00.000,,ryanair,fr,ryr,1503,fr1503,ryr1503,,,,,,,,,,,
departure,active,lba,egnm,6,,2022-01-03t14:00:00.000,2022-01-03t14:00:00.000,2022-01-03t13:50:00.000,2022-01-03t13:50:00.000,2022-01-03t13:50:00.000,krk,epkk,t,,2022-01-03t17:25:00.000,2022-01-03t16:53:00.000,ryanair,fr,ryr,2332,fr2332,ryr2332,,,,,,,,,,,
departure,active,lba,egnm,7,,2022-01-03t16:20:00.000,2022-01-03t16:20:00.000,2022-01-03t16:10:00.000,2022-01-03t16:10:00.000,2022-01-03t16:10:00.000,fao,lpfr,,,2022-01-03t19:15:00.000,,ryanair,fr,ryr,2504,fr2504,ryr2504,,,,,,,,,,,
departure,active,lba,egnm,,,2022-01-03t20:10:00.000,2022-01-03t20:10:00.000,,,,wro,epwr,,,2022-01-03t23:15:00.000,,ryanair,fr,ryr,4107,fr4107,ryr4107,,,,,,,,,,,
departure,active,lba,egnm,4,,2022-01-04t06:40:00.000,2022-01-04t06:40:00.000,,,,krk,epkk,t,,2022-01-04t10:05:00.000,,ryanair,fr,ryr,2332,fr2332,ryr2332,,,,,,,,,,,
departure,active,lba,egnm,8,,2022-01-04t12:55:00.000,2022-01-04t12:55:00.000,,,,tfs,gcts,,a7,2022-01-04t17:35:00.000,,ryanair,fr,ryr,2492,fr2492,ryr2492,,,,,,,,,,,
departure,active,lba,egnm,6,,2022-01-04t14:20:00.000,2022-01-04t14:20:00.000,,,,dub,eidw,1,3,2022-01-04t15:20:00.000,,ryanair,fr,ryr,153,fr153,ryr153,103,,,,,,,,,,
departure,active,lba,egnm,8,19.0,2022-01-04t18:45:00.000,2022-01-04t18:45:00.000,2022-01-04t19:03:00.000,2022-01-04t19:03:00.000,2022-01-04t19:03:00.000,poz,eppo,,,2022-01-04t21:55:00.000,2022-01-04t21:50:00.000,ryanair,fr,ryr,5606,fr5606,ryr5606,,,,,,,,,,,
departure,active,lba,egnm,6,,2022-01-04t18:50:00.000,2022-01-04t18:50:00.000,,,,rix,evra,,,2022-01-04t23:25:00.000,,ryanair,fr,ryr,2482,fr2482,ryr2482,c,,,,,,,,,,
departure,active,lba,egnm,8,,2022-01-04t19:10:00.000,2022-01-04t19:10:00.000,,,,vno,eyvi,,,2022-01-04t23:59:00.000,,ryanair,fr,ryr,5043,fr5043,ryr5043,,,,,,,,,,,
departure,active,lba,egnm,,,2022-01-05t07:30:00.000,2022-01-05t07:30:00.000,,,,agp,lemg,,,2022-01-05t11:30:00.000,,ryanair,fr,ryr,2446,fr2446,ryr2446,,,,,,,,,,,
