type,status,departure.iataCode,departure.icaoCode,departure.terminal,departure.gate,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.delay,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.terminal,arrival.baggage,arrival.gate,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber
departure,active,lgw,egkk,n,50,22.0,2022-01-01t07:55:00.000,2022-01-01t07:55:00.000,2022-01-01t08:17:00.000,2022-01-01t08:17:00.000,2022-01-01t08:17:00.000,ork,eick,11.0,2022-01-01t09:10:00.000,2022-01-01t09:21:00.000,ryanair,fr,ryr,9853,fr9853,ryr9853,,,,,,,,,,,,
departure,active,lgw,egkk,n,51,4.0,2022-01-01t09:40:00.000,2022-01-01t09:40:00.000,2022-01-01t09:43:00.000,2022-01-01t09:43:00.000,2022-01-01t09:43:00.000,dub,eidw,,2022-01-01t11:05:00.000,2022-01-01t10:42:00.000,ryanair,fr,ryr,113,fr113,ryr113,1,6,1xs,2022-01-01t10:36:00.000,2022-01-01t10:36:00.000,2022-01-01t10:36:00.000,,,,,,
departure,active,lgw,egkk,n,48,9.0,2022-01-01t13:25:00.000,2022-01-01t13:25:00.000,2022-01-01t13:34:00.000,2022-01-01t13:34:00.000,2022-01-01t13:34:00.000,dub,eidw,,2022-01-01t14:50:00.000,2022-01-01t14:26:00.000,ryanair,fr,ryr,115,fr115,ryr115,1,7,1xs,,,,,,,,,
departure,active,lgw,egkk,n,50,5.0,2022-01-01t15:10:00.000,2022-01-01t15:10:00.000,2022-01-01t15:15:00.000,2022-01-01t15:15:00.000,2022-01-01t15:15:00.000,dub,eidw,,2022-01-01t16:35:00.000,2022-01-01t16:12:00.000,ryanair,fr,ryr,123,fr123,ryr123,1,7,113,,,,,,,,,
departure,active,lgw,egkk,n,49,3.0,2022-01-01t16:40:00.000,2022-01-01t16:40:00.000,2022-01-01t16:42:00.000,2022-01-01t16:42:00.000,2022-01-01t16:42:00.000,dub,eidw,,2022-01-01t18:05:00.000,2022-01-01t17:38:00.000,ryanair,fr,ryr,158,fr158,ryr158,1,7,1xn,,,,,,,,,
departure,active,lgw,egkk,n,50,1.0,2022-01-01t17:45:00.000,2022-01-01t17:45:00.000,2022-01-01t17:45:00.000,2022-01-01t17:45:00.000,2022-01-01t17:45:00.000,dub,eidw,,2022-01-01t19:10:00.000,2022-01-01t18:37:00.000,ryanair,fr,ryr,117,fr117,ryr117,1,6,103,2022-01-01t18:38:00.000,2022-01-01t18:38:00.000,2022-01-01t18:38:00.000,,,,,,
departure,active,lgw,egkk,n,53,,2022-01-01t18:55:00.000,2022-01-01t18:55:00.000,2022-01-01t18:53:00.000,2022-01-01t18:53:00.000,2022-01-01t18:53:00.000,alc,leal,,2022-01-01t22:25:00.000,2022-01-01t21:56:00.000,ryanair,fr,ryr,2715,fr2715,ryr2715,,,,,,,,,,,,
departure,active,lgw,egkk,n,52,11.0,2022-01-01t19:55:00.000,2022-01-01t19:55:00.000,2022-01-01t20:05:00.000,2022-01-01t20:05:00.000,2022-01-01t20:05:00.000,dub,eidw,,2022-01-01t21:20:00.000,2022-01-01t21:00:00.000,ryanair,fr,ryr,143,fr143,ryr143,1,6,109,,,,,,,,,
departure,active,lgw,egkk,n,50,,2022-01-01t19:55:00.000,2022-01-01t19:55:00.000,2022-01-01t19:51:00.000,2022-01-01t19:51:00.000,2022-01-01t19:51:00.000,agp,lemg,,2022-01-01t23:35:00.000,2022-01-01t23:17:00.000,ryanair,fr,ryr,160,fr160,ryr160,,,,,,,,,,,,
departure,active,lgw,egkk,n,53,,2022-01-01t20:10:00.000,2022-01-01t20:10:00.000,2022-01-01t20:09:00.000,2022-01-01t20:09:00.000,2022-01-01t20:09:00.000,snn,einn,,2022-01-01t21:40:00.000,2022-01-01t21:13:00.000,ryanair,fr,ryr,1183,fr1183,ryr1183,,,,,,,,,,,,
departure,active,lgw,egkk,n,52,,2022-01-01t21:30:00.000,2022-01-01t21:30:00.000,,,,dub,eidw,,2022-01-01t22:50:00.000,,ryanair,fr,ryr,119,fr119,ryr119,1,8,vcc1,,,,,,,,,
departure,active,lgw,egkk,n,46,9.0,2022-01-02t07:45:00.000,2022-01-02t07:45:00.000,2022-01-02t07:54:00.000,2022-01-02t07:54:00.000,2022-01-02t07:54:00.000,dub,eidw,,2022-01-02t09:10:00.000,2022-01-02t08:49:00.000,ryanair,fr,ryr,158,fr158,ryr158,1,6,103,,,,,,,,,
departure,active,lgw,egkk,n,46,17.0,2022-01-02t09:20:00.000,2022-01-02t09:20:00.000,2022-01-02t09:36:00.000,2022-01-02t09:36:00.000,2022-01-02t09:36:00.000,dub,eidw,,2022-01-02t11:00:00.000,2022-01-02t10:33:00.000,ryanair,fr,ryr,121,fr121,ryr121,1,6,107,,,,,,,,,
departure,active,lgw,egkk,n,55e,3.0,2022-01-02t10:10:00.000,2022-01-02t10:03:00.000,2022-01-02t10:12:00.000,2022-01-02t10:12:00.000,2022-01-02t10:12:00.000,dub,eidw,,2022-01-02t11:35:00.000,2022-01-02t11:07:00.000,ryanair,fr,ryr,113,fr113,ryr113,1,8,110,,,,,,,,,
departure,active,lgw,egkk,n,51,4.0,2022-01-02t11:05:00.000,2022-01-02t11:05:00.000,2022-01-02t11:08:00.000,2022-01-02t11:08:00.000,2022-01-02t11:08:00.000,alc,leal,,2022-01-02t14:35:00.000,2022-01-02t14:13:00.000,ryanair,fr,ryr,2715,fr2715,ryr2715,,,,,,,,,,,,
departure,active,lgw,egkk,n,47,14.0,2022-01-02t11:55:00.000,2022-01-02t11:59:00.000,2022-01-02t12:08:00.000,2022-01-02t12:08:00.000,2022-01-02t12:08:00.000,ork,eick,6.0,2022-01-02t13:10:00.000,2022-01-02t13:15:00.000,ryanair,fr,ryr,9853,fr9853,ryr9853,,,,,,,,,,,,
departure,active,lgw,egkk,n,50,12.0,2022-01-02t13:30:00.000,2022-01-02t13:31:00.000,2022-01-02t13:41:00.000,2022-01-02t13:41:00.000,2022-01-02t13:41:00.000,dub,eidw,,2022-01-02t14:55:00.000,2022-01-02t14:38:00.000,ryanair,fr,ryr,115,fr115,ryr115,1,6,113,,,,,,,,,
departure,active,lgw,egkk,n,52,7.0,2022-01-02t15:45:00.000,2022-01-02t15:45:00.000,2022-01-02t15:52:00.000,2022-01-02t15:52:00.000,2022-01-02t15:52:00.000,dub,eidw,,2022-01-02t17:10:00.000,2022-01-02t16:49:00.000,ryanair,fr,ryr,123,fr123,ryr123,1,6,104,,,,,,,,,
