type,status,departure.iataCode,departure.icaoCode,departure.delay,departure.scheduledTime,departure.estimatedTime,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.baggage,arrival.scheduledTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.estimatedTime,arrival.gate,arrival.delay,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,departure.gate
departure,active,lpl,eggp,10.0,2022-01-01t06:20:00.000,2022-01-01t06:30:00.000,ace,gcrr,1,5,2022-01-01t10:25:00.000,ryanair,fr,ryr,3811,fr3811,ryr3811,,,,,,,,,,
departure,active,lpl,eggp,11.0,2022-01-01t07:55:00.000,2022-01-01t07:55:00.000,noc,eikn,,,2022-01-01t09:00:00.000,ryanair,fr,ryr,6673,fr6673,ryr6673,2022-01-01t08:05:00.000,2022-01-01t08:05:00.000,2022-01-01t08:05:00.000,2022-01-01t08:51:00.000,,,,,,
departure,active,lpl,eggp,,2022-01-01t09:20:00.000,2022-01-01t09:20:00.000,arn,essa,5,5,2022-01-01t12:45:00.000,ryanair,fr,ryr,4666,fr4666,ryr4666,2022-01-01t09:14:00.000,2022-01-01t09:14:00.000,2022-01-01t09:14:00.000,2022-01-01t12:16:00.000,f69,,,,,
departure,active,lpl,eggp,,2022-01-01t09:35:00.000,2022-01-01t09:35:00.000,dub,eidw,1,8,2022-01-01t10:25:00.000,ryanair,fr,ryr,443,fr443,ryr443,2022-01-01t09:31:00.000,2022-01-01t09:31:00.000,2022-01-01t09:31:00.000,2022-01-01t10:03:00.000,105,,,,,
departure,active,lpl,eggp,32.0,2022-01-01t10:50:00.000,2022-01-01t10:50:00.000,bva,lfob,t1,,2022-01-01t13:10:00.000,ryanair,fr,ryr,6888,fr6888,ryr6888,2022-01-01t11:22:00.000,2022-01-01t11:22:00.000,2022-01-01t11:22:00.000,2022-01-01t13:22:00.000,,12.0,,,,
departure,active,lpl,eggp,,2022-01-01t13:05:00.000,2022-01-01t13:05:00.000,vie,loww,,,2022-01-01t16:25:00.000,ryanair,fr,ryr,4354,fr4354,ryr4354,,,,,,,,,,
departure,active,lpl,eggp,6.0,2022-01-01t14:20:00.000,2022-01-01t14:20:00.000,wro,epwr,,,2022-01-01t17:30:00.000,ryanair,fr,ryr,9648,fr9648,ryr9648,2022-01-01t14:26:00.000,2022-01-01t14:26:00.000,2022-01-01t14:26:00.000,2022-01-01t17:19:00.000,,,,,,
departure,active,lpl,eggp,7.0,2022-01-01t14:45:00.000,2022-01-01t14:45:00.000,fue,gcfv,,3,2022-01-01t18:55:00.000,ryanair,fr,ryr,4081,fr4081,ryr4081,2022-01-01t14:52:00.000,2022-01-01t14:52:00.000,2022-01-01t14:52:00.000,2022-01-01t18:52:00.000,,,,,,
departure,active,lpl,eggp,,2022-01-01t15:55:00.000,2022-01-01t15:55:00.000,sof,lbsf,2,,2022-01-01t21:10:00.000,ryanair,fr,ryr,6338,fr6338,ryr6338,,,,,,,,,,
departure,active,lpl,eggp,,2022-01-01t17:00:00.000,2022-01-01t17:00:00.000,alc,leal,,,2022-01-01t20:45:00.000,ryanair,fr,ryr,9886,fr9886,ryr9886,,,,,,,,,,
departure,active,lpl,eggp,,2022-01-01t20:45:00.000,2022-01-01t20:45:00.000,dub,eidw,1,6,2022-01-01t21:35:00.000,ryanair,fr,ryr,447,fr447,ryr447,2022-01-01t20:43:00.000,2022-01-01t20:43:00.000,2022-01-01t20:43:00.000,2022-01-01t21:13:00.000,110,,,,,
departure,active,lpl,eggp,,2022-01-02t06:10:00.000,2022-01-02t06:10:00.000,tfs,gcts,,b2,2022-01-02t10:35:00.000,ryanair,fr,ryr,4346,fr4346,ryr4346,,,,,,,,,,
departure,active,lpl,eggp,2.0,2022-01-02t06:25:00.000,2022-01-02t06:25:00.000,vno,eyvi,,,2022-01-02t11:15:00.000,ryanair,fr,ryr,9622,fr9622,ryr9622,2022-01-02t06:26:00.000,2022-01-02t06:26:00.000,2022-01-02t06:26:00.000,2022-01-02t10:49:00.000,,,,,,
departure,active,lpl,eggp,10.0,2022-01-02t07:00:00.000,2022-01-02t07:00:00.000,ksc,lzkz,,,2022-01-02t10:50:00.000,ryanair,fr,ryr,3344,fr3344,ryr3344,2022-01-02t07:09:00.000,2022-01-02t07:09:00.000,2022-01-02t07:09:00.000,2022-01-02t10:31:00.000,,,,,,
departure,active,lpl,eggp,,2022-01-02t08:35:00.000,2022-01-02t08:35:00.000,dub,eidw,1,6,2022-01-02t09:25:00.000,ryanair,fr,ryr,443,fr443,ryr443,,,,,107,,,,,
departure,active,lpl,eggp,,2022-01-02t13:25:00.000,2022-01-02t13:25:00.000,agp,lemg,,,2022-01-02t17:25:00.000,ryanair,fr,ryr,9862,fr9862,ryr9862,,,,,,,,,,
departure,active,lpl,eggp,15.0,2022-01-02t13:55:00.000,2022-01-02t13:55:00.000,poz,eppo,,,2022-01-02t17:00:00.000,ryanair,fr,ryr,9628,fr9628,ryr9628,2022-01-02t14:09:00.000,2022-01-02t14:09:00.000,2022-01-02t14:09:00.000,2022-01-02t16:57:00.000,,,,,,
