type,status,departure.iataCode,departure.icaoCode,departure.gate,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.terminal,arrival.baggage,arrival.gate,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay
departure,active,ltn,eggw,1,6.0,2022-01-01t06:15:00.000,2022-01-01t06:15:00.000,2022-01-01t06:21:00.000,2022-01-01t06:21:00.000,2022-01-01t06:21:00.000,vno,eyvi,2022-01-01t10:55:00.000,2022-01-01t10:40:00.000,ryanair,fr,ryr,3468,fr3468,ryr3468,,,,,,,
departure,active,ltn,eggw,1,,2022-01-01t06:30:00.000,2022-01-01t06:30:00.000,2022-01-01t06:24:00.000,2022-01-01t06:24:00.000,2022-01-01t06:24:00.000,dub,eidw,2022-01-01t07:45:00.000,2022-01-01t07:19:00.000,ryanair,fr,ryr,331,fr331,ryr331,1,8,111,2022-01-01t07:19:00.000,2022-01-01t07:19:00.000,2022-01-01t07:19:00.000,
departure,active,ltn,eggw,1,,2022-01-01t07:05:00.000,2022-01-01t07:05:00.000,2022-01-01t07:03:00.000,2022-01-01t07:03:00.000,2022-01-01t07:03:00.000,fue,gcfv,2022-01-01t11:20:00.000,2022-01-01t10:54:00.000,ryanair,fr,ryr,7912,fr7912,ryr7912,,3,,,,,
departure,active,ltn,eggw,1,,2022-01-01t07:30:00.000,2022-01-01t07:30:00.000,2022-01-01t07:29:00.000,2022-01-01t07:29:00.000,2022-01-01t07:29:00.000,kun,eyka,2022-01-01t12:05:00.000,2022-01-01t11:40:00.000,ryanair,fr,ryr,3466,fr3466,ryr3466,,,,,,,
departure,active,ltn,eggw,1,13.0,2022-01-01t07:40:00.000,2022-01-01t07:40:00.000,2022-01-01t07:53:00.000,2022-01-01t07:53:00.000,2022-01-01t07:53:00.000,svq,lezl,2022-01-01t11:25:00.000,2022-01-01t11:25:00.000,ryanair,fr,ryr,1361,fr1361,ryr1361,1,6,,,,,
departure,active,ltn,eggw,1,4.0,2022-01-01t07:40:00.000,2022-01-01t07:40:00.000,2022-01-01t07:44:00.000,2022-01-01t07:44:00.000,2022-01-01t07:44:00.000,noc,eikn,2022-01-01t09:05:00.000,2022-01-01t08:45:00.000,ryanair,fr,ryr,8142,fr8142,ryr8142,,,,,,,
departure,active,ltn,eggw,1,3.0,2022-01-01t09:50:00.000,2022-01-01t09:50:00.000,2022-01-01t09:53:00.000,2022-01-01t09:53:00.000,2022-01-01t09:53:00.000,kir,eiky,2022-01-01t11:20:00.000,2022-01-01t11:03:00.000,ryanair,fr,ryr,842,fr842,ryr842,,,,,,,
departure,active,ltn,eggw,1,3.0,2022-01-01t11:10:00.000,2022-01-01t11:10:00.000,2022-01-01t11:12:00.000,2022-01-01t11:12:00.000,2022-01-01t11:12:00.000,krk,epkk,2022-01-01t14:35:00.000,2022-01-01t14:09:00.000,ryanair,fr,ryr,1813,fr1813,ryr1813,t,,,,,,
departure,active,ltn,eggw,1,,2022-01-01t13:20:00.000,2022-01-01t13:20:00.000,,,,bzr,lfmu,2022-01-01t16:10:00.000,,ryanair,fr,ryr,3456,fr3456,ryr3456,,,,,,,
departure,active,ltn,eggw,1,3.0,2022-01-01t14:15:00.000,2022-01-01t14:15:00.000,2022-01-01t14:17:00.000,2022-01-01t14:17:00.000,2022-01-01t14:17:00.000,dub,eidw,2022-01-01t15:30:00.000,2022-01-01t15:11:00.000,ryanair,fr,ryr,338,fr338,ryr338,1,7,1xs,,,,
departure,active,ltn,eggw,1,6.0,2022-01-01t14:25:00.000,2022-01-01t14:25:00.000,2022-01-01t14:31:00.000,2022-01-01t14:31:00.000,2022-01-01t14:31:00.000,ace,gcrr,2022-01-01t18:30:00.000,2022-01-01t18:22:00.000,ryanair,fr,ryr,3511,fr3511,ryr3511,1,4,,,,,
departure,active,ltn,eggw,1,5.0,2022-01-01t14:30:00.000,2022-01-01t14:30:00.000,2022-01-01t14:35:00.000,2022-01-01t14:35:00.000,2022-01-01t14:35:00.000,agp,lemg,2022-01-01t18:15:00.000,2022-01-01t18:01:00.000,ryanair,fr,ryr,7784,fr7784,ryr7784,,,,,,,
departure,active,ltn,eggw,1,,2022-01-01t16:45:00.000,2022-01-01t16:45:00.000,2022-01-01t16:44:00.000,2022-01-01t16:44:00.000,2022-01-01t16:44:00.000,alc,leal,2022-01-01t20:15:00.000,2022-01-01t19:52:00.000,ryanair,fr,ryr,3770,fr3770,ryr3770,,,,,,,
departure,active,ltn,eggw,1,,2022-01-01t17:40:00.000,2022-01-01t17:40:00.000,2022-01-01t17:36:00.000,2022-01-01t17:36:00.000,2022-01-01t17:36:00.000,rze,eprz,2022-01-01t21:05:00.000,2022-01-01t20:39:00.000,ryanair,fr,ryr,3472,fr3472,ryr3472,,,,,,,
departure,active,ltn,eggw,1,4.0,2022-01-01t17:40:00.000,2022-01-01t17:40:00.000,2022-01-01t17:43:00.000,2022-01-01t17:43:00.000,2022-01-01t17:43:00.000,nap,lirn,2022-01-01t21:20:00.000,2022-01-01t21:05:00.000,ryanair,fr,ryr,5455,fr5455,ryr5455,,,,,,,
departure,active,ltn,eggw,1,16.0,2022-01-01t18:05:00.000,2022-01-01t18:10:00.000,2022-01-01t18:20:00.000,2022-01-01t18:20:00.000,2022-01-01t18:20:00.000,trn,limf,2022-01-01t20:55:00.000,,ryanair,fr,ryr,8622,fr8622,ryr8622,,,,,,,
departure,active,ltn,eggw,2,2.0,2022-01-02t06:30:00.000,2022-01-02t06:30:00.000,2022-01-02t06:31:00.000,2022-01-02t06:31:00.000,2022-01-02t06:31:00.000,dub,eidw,2022-01-02t07:45:00.000,2022-01-02t07:23:00.000,ryanair,fr,ryr,331,fr331,ryr331,1,6,109,,,,
departure,active,ltn,eggw,2,6.0,2022-01-02t06:55:00.000,2022-01-02t06:55:00.000,2022-01-02t07:01:00.000,2022-01-02t07:01:00.000,2022-01-02t07:01:00.000,vno,eyvi,2022-01-02t11:35:00.000,2022-01-02t11:18:00.000,ryanair,fr,ryr,3468,fr3468,ryr3468,,,,,,,
departure,active,ltn,eggw,2,6.0,2022-01-02t07:00:00.000,2022-01-02t07:00:00.000,2022-01-02t07:05:00.000,2022-01-02t07:05:00.000,2022-01-02t07:05:00.000,mla,lmml,2022-01-02t11:15:00.000,2022-01-02t10:57:00.000,ryanair,fr,ryr,3882,fr3882,ryr3882,,,,,,,
departure,active,ltn,eggw,2,5.0,2022-01-02t07:10:00.000,2022-01-02t07:10:00.000,2022-01-02t07:14:00.000,2022-01-02t07:14:00.000,2022-01-02t07:14:00.000,kun,eyka,2022-01-02t11:45:00.000,2022-01-02t11:25:00.000,ryanair,fr,ryr,3466,fr3466,ryr3466,,,,,,,
departure,active,ltn,eggw,2,10.0,2022-01-02t07:50:00.000,2022-01-02t07:50:00.000,2022-01-02t08:00:00.000,2022-01-02t08:00:00.000,2022-01-02t08:00:00.000,snn,einn,2022-01-02t09:10:00.000,2022-01-02t09:06:00.000,ryanair,fr,ryr,8624,fr8624,ryr8624,,,,,,,
departure,active,ltn,eggw,8,6.0,2022-01-02t09:05:00.000,2022-01-02t09:05:00.000,2022-01-02t09:10:00.000,2022-01-02t09:10:00.000,2022-01-02t09:10:00.000,nap,lirn,2022-01-02t12:45:00.000,2022-01-02t12:31:00.000,ryanair,fr,ryr,5455,fr5455,ryr5455,,,,,,,
departure,active,ltn,eggw,2,7.0,2022-01-02t09:55:00.000,2022-01-02t09:55:00.000,2022-01-02t10:01:00.000,2022-01-02t10:01:00.000,2022-01-02t10:01:00.000,noc,eikn,2022-01-02t11:20:00.000,2022-01-02t11:09:00.000,ryanair,fr,ryr,8142,fr8142,ryr8142,,,,,,,
departure,active,ltn,eggw,2,19.0,2022-01-02t11:20:00.000,2022-01-02t11:20:00.000,2022-01-02t11:38:00.000,2022-01-02t11:38:00.000,2022-01-02t11:38:00.000,bcn,lebl,2022-01-02t14:25:00.000,2022-01-02t14:22:00.000,ryanair,fr,ryr,5090,fr5090,ryr5090,2,45,,,,,
departure,active,ltn,eggw,2,16.0,2022-01-02t13:50:00.000,2022-01-02t14:15:00.000,2022-01-02t14:05:00.000,2022-01-02t14:05:00.000,2022-01-02t14:05:00.000,tfs,gcts,2022-01-02t18:10:00.000,2022-01-02t18:14:00.000,ryanair,fr,ryr,3513,fr3513,ryr3513,,a1,,,,,4.0
departure,active,ltn,eggw,2,10.0,2022-01-02t14:10:00.000,2022-01-02t14:10:00.000,2022-01-02t14:20:00.000,2022-01-02t14:20:00.000,2022-01-02t14:20:00.000,bzg,epby,2022-01-02t17:15:00.000,2022-01-02t17:04:00.000,ryanair,fr,ryr,1640,fr1640,ryr1640,,,,,,,
departure,active,ltn,eggw,2,31.0,2022-01-02t14:15:00.000,2022-01-02t14:15:00.000,2022-01-02t14:45:00.000,2022-01-02t14:45:00.000,2022-01-02t14:45:00.000,dub,eidw,2022-01-02t15:30:00.000,2022-01-02t15:36:00.000,ryanair,fr,ryr,338,fr338,ryr338,1,9,103,,,,7.0
departure,active,ltn,eggw,2,16.0,2022-01-02t15:10:00.000,2022-01-02t15:10:00.000,2022-01-02t15:26:00.000,2022-01-02t15:26:00.000,2022-01-02t15:26:00.000,blq,lipe,2022-01-02t18:25:00.000,2022-01-02t18:06:00.000,ryanair,fr,ryr,3406,fr3406,ryr3406,,,,,,,
departure,active,ltn,eggw,2,35.0,2022-01-02t15:55:00.000,2022-01-02t16:30:00.000,,,,gnb,lfls,2022-01-02t18:35:00.000,,ryanair,fr,ryr,8618,fr8618,ryr8618,,,,,,,
departure,active,ltn,eggw,2,,2022-01-02t17:20:00.000,2022-01-02t17:20:00.000,2022-01-02t17:19:00.000,2022-01-02t17:19:00.000,2022-01-02t17:19:00.000,krk,epkk,2022-01-02t20:45:00.000,2022-01-02t20:16:00.000,ryanair,fr,ryr,1813,fr1813,ryr1813,t,,,,,,
departure,active,ltn,eggw,2,25.0,2022-01-02t17:40:00.000,2022-01-02t17:52:00.000,2022-01-02t18:05:00.000,2022-01-02t18:05:00.000,2022-01-02t18:05:00.000,ork,eick,2022-01-02t19:00:00.000,2022-01-02t19:07:00.000,ryanair,fr,ryr,7680,fr7680,ryr7680,,,,,,,8.0
departure,active,ltn,eggw,2,41.0,2022-01-02t20:05:00.000,2022-01-02t20:35:00.000,2022-01-02t20:46:00.000,2022-01-02t20:46:00.000,2022-01-02t20:46:00.000,dub,eidw,2022-01-02t21:20:00.000,2022-01-02t21:39:00.000,ryanair,fr,ryr,341,fr341,ryr341,1,7,105,,,,19.0
departure,active,ltn,eggw,2,4.0,2022-01-03t06:25:00.000,2022-01-03t06:25:00.000,2022-01-03t06:28:00.000,2022-01-03t06:28:00.000,2022-01-03t06:28:00.000,vno,eyvi,2022-01-03t11:05:00.000,2022-01-03t10:46:00.000,ryanair,fr,ryr,3468,fr3468,ryr3468,,,,,,,
departure,active,ltn,eggw,2,1.0,2022-01-03t06:30:00.000,2022-01-03t06:30:00.000,2022-01-03t06:31:00.000,2022-01-03t06:31:00.000,2022-01-03t06:31:00.000,dub,eidw,2022-01-03t07:45:00.000,2022-01-03t07:25:00.000,ryanair,fr,ryr,331,fr331,ryr331,1,7,105,,,,
departure,active,ltn,eggw,2,,2022-01-03t06:55:00.000,2022-01-03t06:55:00.000,2022-01-03t06:50:00.000,2022-01-03t06:50:00.000,2022-01-03t06:50:00.000,snn,einn,2022-01-03t08:15:00.000,2022-01-03t08:02:00.000,ryanair,fr,ryr,8624,fr8624,ryr8624,,,,,,,
departure,active,ltn,eggw,2,23.0,2022-01-03t07:00:00.000,2022-01-03t07:00:00.000,2022-01-03t07:23:00.000,2022-01-03t07:23:00.000,2022-01-03t07:23:00.000,mla,lmml,2022-01-03t11:15:00.000,2022-01-03t11:20:00.000,ryanair,fr,ryr,3882,fr3882,ryr3882,,,,,,,6.0
departure,active,ltn,eggw,2,10.0,2022-01-03t07:05:00.000,2022-01-03t07:05:00.000,2022-01-03t07:15:00.000,2022-01-03t07:15:00.000,2022-01-03t07:15:00.000,nap,lirn,2022-01-03t10:45:00.000,2022-01-03t10:36:00.000,ryanair,fr,ryr,5455,fr5455,ryr5455,,,,,,,
departure,active,ltn,eggw,2,5.0,2022-01-03t07:35:00.000,2022-01-03t07:35:00.000,2022-01-03t07:40:00.000,2022-01-03t07:40:00.000,2022-01-03t07:40:00.000,alc,leal,2022-01-03t11:05:00.000,2022-01-03t10:50:00.000,ryanair,fr,ryr,3770,fr3770,ryr3770,,,,,,,
departure,active,ltn,eggw,2,7.0,2022-01-03t12:15:00.000,2022-01-03t12:15:00.000,2022-01-03t12:22:00.000,2022-01-03t12:22:00.000,2022-01-03t12:22:00.000,bcn,lebl,2022-01-03t15:20:00.000,2022-01-03t15:02:00.000,ryanair,fr,ryr,5090,fr5090,ryr5090,2,45,,,,,
departure,active,ltn,eggw,2,12.0,2022-01-03t13:50:00.000,2022-01-03t13:50:00.000,2022-01-03t14:01:00.000,2022-01-03t14:01:00.000,2022-01-03t14:01:00.000,noc,eikn,2022-01-03t15:15:00.000,2022-01-03t15:10:00.000,ryanair,fr,ryr,8142,fr8142,ryr8142,,,,,,,
departure,active,ltn,eggw,2,9.0,2022-01-03t14:15:00.000,2022-01-03t14:15:00.000,2022-01-03t14:24:00.000,2022-01-03t14:24:00.000,2022-01-03t14:24:00.000,dub,eidw,2022-01-03t15:30:00.000,2022-01-03t15:14:00.000,ryanair,fr,ryr,338,fr338,ryr338,1,8,109,,,,
departure,active,ltn,eggw,2,29.0,2022-01-03t14:20:00.000,2022-01-03t14:20:00.000,2022-01-03t14:48:00.000,2022-01-03t14:48:00.000,2022-01-03t14:48:00.000,lpa,gclp,2022-01-03t18:40:00.000,2022-01-03t18:54:00.000,ryanair,fr,ryr,9174,fr9174,ryr9174,,41,,,,,15.0
departure,active,ltn,eggw,2,2.0,2022-01-03t14:25:00.000,2022-01-03t14:25:00.000,2022-01-03t14:26:00.000,2022-01-03t14:26:00.000,2022-01-03t14:26:00.000,krk,epkk,2022-01-03t17:50:00.000,2022-01-03t17:19:00.000,ryanair,fr,ryr,1813,fr1813,ryr1813,t,,,,,,
departure,active,ltn,eggw,2,4.0,2022-01-03t15:30:00.000,2022-01-03t15:30:00.000,2022-01-03t15:33:00.000,2022-01-03t15:33:00.000,2022-01-03t15:33:00.000,kir,eiky,2022-01-03t17:00:00.000,2022-01-03t16:36:00.000,ryanair,fr,ryr,842,fr842,ryr842,,,,,,,
departure,active,ltn,eggw,2,9.0,2022-01-03t17:25:00.000,2022-01-03t17:25:00.000,2022-01-03t17:33:00.000,2022-01-03t17:33:00.000,2022-01-03t17:33:00.000,blq,lipe,2022-01-03t20:40:00.000,2022-01-03t20:12:00.000,ryanair,fr,ryr,3406,fr3406,ryr3406,,,,,,,
departure,active,ltn,eggw,2,19.0,2022-01-03t17:40:00.000,2022-01-03t17:40:00.000,2022-01-03t17:59:00.000,2022-01-03t17:59:00.000,2022-01-03t17:59:00.000,kun,eyka,2022-01-03t22:15:00.000,2022-01-03t22:11:00.000,ryanair,fr,ryr,3466,fr3466,ryr3466,,,,,,,
departure,active,ltn,eggw,2,6.0,2022-01-03t17:45:00.000,2022-01-03t17:45:00.000,2022-01-03t17:50:00.000,2022-01-03t17:50:00.000,2022-01-03t17:50:00.000,bzr,lfmu,2022-01-03t20:35:00.000,2022-01-03t20:22:00.000,ryanair,fr,ryr,3456,fr3456,ryr3456,,,,,,,
departure,active,ltn,eggw,2,6.0,2022-01-03t20:05:00.000,2022-01-03t20:05:00.000,2022-01-03t20:11:00.000,2022-01-03t20:11:00.000,2022-01-03t20:11:00.000,dub,eidw,2022-01-03t21:20:00.000,2022-01-03t21:09:00.000,ryanair,fr,ryr,341,fr341,ryr341,1,8,107,,,,
departure,active,ltn,eggw,2,8.0,2022-01-03t20:10:00.000,2022-01-03t20:10:00.000,2022-01-03t20:17:00.000,2022-01-03t20:17:00.000,2022-01-03t20:17:00.000,ork,eick,2022-01-03t21:30:00.000,2022-01-03t21:20:00.000,ryanair,fr,ryr,7680,fr7680,ryr7680,,,,,,,
