type,status,departure.iataCode,departure.icaoCode,departure.gate,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.terminal,arrival.baggage,arrival.gate,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.delay,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber
departure,active,ncl,egnt,2,2.0,2022-01-01t11:20:00.000,2022-01-01t11:20:00.000,2022-01-01t11:21:00.000,2022-01-01t11:21:00.000,2022-01-01t11:21:00.000,dub,eidw,1,6,102,2022-01-01t12:30:00.000,2022-01-01t12:11:00.000,ryanair,fr,ryr,173,fr173,ryr173,,,,,,,,,,
departure,active,ncl,egnt,7,,2022-01-01t16:35:00.000,2022-01-01t16:35:00.000,,,,fao,lpfr,,,,2022-01-01t19:40:00.000,,ryanair,fr,ryr,2342,fr2342,ryr2342,,,,,,,,,,
departure,active,ncl,egnt,10,12.0,2022-01-02t08:30:00.000,2022-01-02t08:42:00.000,,,,wro,epwr,,,,2022-01-02t11:40:00.000,,ryanair,fr,ryr,8310,fr8310,ryr8310,,,,,,,,,,
departure,active,ncl,egnt,7,,2022-01-02t09:25:00.000,2022-01-02t09:25:00.000,,,,dub,eidw,1,5,106,2022-01-02t10:35:00.000,,ryanair,fr,ryr,173,fr173,ryr173,,,,,,,,,,
departure,active,ncl,egnt,,,2022-01-02t16:55:00.000,2022-01-02t16:55:00.000,,,,krk,epkk,t,,,2022-01-02t20:30:00.000,,ryanair,fr,ryr,7661,fr7661,ryr7661,,,,,,,,,,
departure,active,ncl,egnt,7,3.0,2022-01-02t17:55:00.000,2022-01-02t17:55:00.000,2022-01-02t17:58:00.000,2022-01-02t17:58:00.000,2022-01-02t17:58:00.000,alc,leal,,,,2022-01-02t21:50:00.000,2022-01-02t21:33:00.000,ryanair,fr,ryr,4080,fr4080,ryr4080,,,,,,,,,,
departure,active,ncl,egnt,7,,2022-01-02t19:30:00.000,2022-01-02t19:30:00.000,,,,agp,lemg,,,,2022-01-02t23:35:00.000,,ryanair,fr,ryr,5159,fr5159,ryr5159,,,,,,,,,,
departure,active,ncl,egnt,,13.0,2022-01-02t08:30:00.000,2022-01-02t08:40:00.000,2022-01-02t08:42:00.000,2022-01-02t08:42:00.000,2022-01-02t08:42:00.000,wro,epwr,,,,2022-01-02t11:33:00.000,2022-01-02t11:37:00.000,ryanair,fr,ryr,791,fr791,ryr791,5.0,,,,,,,,,
departure,active,ncl,egnt,20,14.0,2022-01-03t08:40:00.000,2022-01-03t08:40:00.000,2022-01-03t08:53:00.000,2022-01-03t08:53:00.000,2022-01-03t08:53:00.000,gdn,epgd,,,,2022-01-03t11:45:00.000,2022-01-03t11:40:00.000,ryanair,fr,ryr,8314,fr8314,ryr8314,,,,,,,,,,
departure,active,ncl,egnt,,,2022-01-03t11:20:00.000,2022-01-03t11:20:00.000,,,,dub,eidw,1,7,1xn,2022-01-03t12:30:00.000,,ryanair,fr,ryr,173,fr173,ryr173,,,,,,,,,,
departure,active,ncl,egnt,,,2022-01-03t19:25:00.000,2022-01-03t19:25:00.000,,,,agp,lemg,,,,2022-01-03t23:30:00.000,,ryanair,fr,ryr,5159,fr5159,ryr5159,,,,,,,,,,
departure,active,ncl,egnt,2,15.0,2022-01-04t09:05:00.000,2022-01-04t09:20:00.000,,,,krk,epkk,t,,,2022-01-04t12:40:00.000,,ryanair,fr,ryr,7661,fr7661,ryr7661,,,,,,,,,,
departure,active,ncl,egnt,,,2022-01-04t09:30:00.000,2022-01-04t09:30:00.000,,,,alc,leal,,,,2022-01-04t13:25:00.000,,ryanair,fr,ryr,4080,fr4080,ryr4080,,,,,,,,,,
