type,status,departure.iataCode,departure.icaoCode,departure.gate,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.baggage,arrival.gate,arrival.scheduledTime,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.terminal,arrival.estimatedTime,codeshared.airline.name,codeshared.airline.iataCode,codeshared.airline.icaoCode,codeshared.flight.number,codeshared.flight.iataNumber,codeshared.flight.icaoNumber,arrival.delay
departure,active,nwi,egsh,3,12.0,2022-01-02t16:55:00.000,2022-01-02t16:55:00.000,2022-01-02t17:06:00.000,2022-01-02t17:06:00.000,2022-01-02t17:06:00.000,ams,eham,8,a08,2022-01-02t18:50:00.000,2022-01-02t18:37:00.000,2022-01-02t18:37:00.000,2022-01-02t18:37:00.000,klm,kl,klm,1524,kl1524,klm1524,,,,,,,,,
departure,active,nwi,egsh,,,2022-01-03t16:55:00.000,,,,,ams,eham,,,2022-01-03t18:50:00.000,,,,klm,kl,klm,1522,kl1522,klm1522,,,,,,,,,
departure,active,nwi,egsh,3,17.0,2022-01-04t16:55:00.000,2022-01-04t17:12:00.000,,,,ams,eham,8,a08,2022-01-04t18:50:00.000,,,,klm,kl,klm,1522,kl1522,klm1522,,,,,,,,,
departure,active,nwi,egsh,3,20.0,2022-01-05t16:55:00.000,2022-01-05t17:15:00.000,,,,ams,eham,12,a08,2022-01-05t18:50:00.000,,,,klm,kl,klm,1522,kl1522,klm1522,,,,,,,,,
departure,active,nwi,egsh,3,,2022-01-06t16:55:00.000,,,,,ams,eham,11,d18,2022-01-06t18:50:00.000,,,,klm,kl,klm,1522,kl1522,klm1522,,,,,,,,,
departure,cancelled,nwi,egsh,,,2022-01-07t16:55:00.000,,,,,ams,eham,,,2022-01-07t18:50:00.000,,,,klm,kl,klm,1524,kl1524,klm1524,,,,,,,,,
departure,active,nwi,egsh,3,2.0,2022-01-08t16:55:00.000,,2022-01-08t16:57:00.000,2022-01-08t16:57:00.000,2022-01-08t16:57:00.000,ams,eham,9,d18,2022-01-08t18:50:00.000,2022-01-08t18:33:00.000,2022-01-08t18:33:00.000,2022-01-08t18:33:00.000,klm,kl,klm,1524,kl1524,klm1524,2,,,,,,,,
departure,active,nwi,egsh,3,,2022-01-09t16:55:00.000,,,,,ams,eham,10,d29,2022-01-09t18:50:00.000,,,,klm,kl,klm,1524,kl1524,klm1524,,,,,,,,,
departure,active,nwi,egsh,3,11.0,2022-01-10t16:55:00.000,,2022-01-10t17:06:00.000,2022-01-10t17:06:00.000,2022-01-10t17:06:00.000,ams,eham,10,d29,2022-01-10t18:50:00.000,2022-01-10t18:40:00.000,2022-01-10t18:40:00.000,2022-01-10t18:40:00.000,klm,kl,klm,1522,kl1522,klm1522,2,,,,,,,,
departure,active,nwi,egsh,3,,2022-01-13t16:55:00.000,,,,,ams,eham,8,a08,2022-01-13t18:50:00.000,,,,klm,kl,klm,1522,kl1522,klm1522,,,,,,,,,
