type,status,departure.iataCode,departure.icaoCode,departure.gate,departure.delay,departure.scheduledTime,departure.estimatedTime,departure.actualTime,departure.estimatedRunway,departure.actualRunway,arrival.iataCode,arrival.icaoCode,arrival.baggage,arrival.gate,arrival.scheduledTime,arrival.estimatedTime,airline.name,airline.iataCode,airline.icaoCode,flight.number,flight.iataNumber,flight.icaoNumber,arrival.terminal,arrival.actualTime,arrival.estimatedRunway,arrival.actualRunway,arrival.delay
departure,active,sou,eghi,2,16.0,2022-01-02t17:20:00.000,2022-01-02t17:20:00.000,2022-01-02t17:36:00.000,2022-01-02t17:36:00.000,2022-01-02t17:36:00.000,ams,eham,9,a08,2022-01-02t19:35:00.000,2022-01-02t19:20:00.000,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8a,,2022-01-03t17:20:00.000,2022-01-03t17:20:00.000,,,,ams,eham,11,d29,2022-01-03t19:35:00.000,,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8a,10.0,2022-01-04t17:20:00.000,2022-01-04t17:20:00.000,2022-01-04t17:30:00.000,2022-01-04t17:30:00.000,2022-01-04t17:30:00.000,ams,eham,8,a08,2022-01-04t19:35:00.000,2022-01-04t19:18:00.000,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8a,,2022-01-05t17:20:00.000,2022-01-05t17:20:00.000,,,,ams,eham,8,a08,2022-01-05t19:35:00.000,,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8,3.0,2022-01-06t17:20:00.000,2022-01-06t17:20:00.000,2022-01-06t17:22:00.000,2022-01-06t17:22:00.000,2022-01-06t17:22:00.000,ams,eham,11,d28,2022-01-06t19:35:00.000,2022-01-06t19:09:00.000,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8,4.0,2022-01-07t17:20:00.000,2022-01-07t17:23:00.000,2022-01-07t17:23:00.000,2022-01-07t17:23:00.000,2022-01-07t17:23:00.000,ams,eham,11,d24,2022-01-07t19:35:00.000,2022-01-07t19:11:00.000,klm,kl,klm,920,kl920,klm920,2,,,,
departure,active,sou,eghi,8a,,2022-01-09t17:20:00.000,2022-01-09t17:20:00.000,2022-01-09t17:16:00.000,2022-01-09t17:16:00.000,2022-01-09t17:16:00.000,ams,eham,10,d24,2022-01-09t19:35:00.000,,klm,kl,klm,920,kl920,klm920,2,2022-01-09t19:07:00.000,2022-01-09t19:07:00.000,2022-01-09t19:07:00.000,
departure,cancelled,sou,eghi,,,2022-01-10t17:20:00.000,,,,,ams,eham,,a08,2022-01-10t19:35:00.000,,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8a,,2022-01-13t17:20:00.000,2022-01-13t17:20:00.000,2022-01-13t17:19:00.000,2022-01-13t17:19:00.000,2022-01-13t17:19:00.000,ams,eham,12,a08,2022-01-13t19:35:00.000,2022-01-13t19:10:00.000,klm,kl,klm,920,kl920,klm920,,,,,
departure,active,sou,eghi,8a,5.0,2022-01-14t17:20:00.000,2022-01-14t17:20:00.000,2022-01-14t17:25:00.000,2022-01-14t17:25:00.000,2022-01-14t17:25:00.000,ams,eham,8,d27,2022-01-14t19:35:00.000,2022-01-14t19:16:00.000,klm,kl,klm,920,kl920,klm920,,,,,
